Team,Rating,CL_GP,season
Arsenal,1.5892,34,2025-26
Bayern Munich,1.5469,36,2025-26
Man City,1.3745,30,2025-26
Barcelona,1.3094,34,2025-26
Paris SG,1.2807,41,2025-26
Liverpool,1.1916,30,2025-26
Inter,1.0225,33,2025-26
Chelsea,0.9339,23,2025-26
Real Madrid,0.9148,39,2025-26
Man United,0.8712,21,2025-26
Ath Madrid,0.8095,32,2025-26
Newcastle,0.7521,18,2025-26
Juventus,0.7416,20,2025-26
Milan,0.6655,22,2025-26
Aston Villa,0.6635,33,2025-26
Nottingham,0.623,11,2025-26
Venezia,0.5959,0,2025-26
Roma,0.5874,35,2025-26
Stuttgart,0.5742,19,2025-26
Como,0.5478,0,2025-26
Dortmund,0.5299,37,2025-26
RB Leipzig,0.5066,16,2025-26
Ipswich,0.4824,0,2025-26
Brighton,0.4695,8,2025-26
FC Porto,0.423,27,2025-26
Lens,0.3908,8,2025-26
Monza,0.3724,0,2025-26
Tottenham,0.3674,25,2025-26
Sporting CP,0.3667,30,2025-26
Coventry,0.3599,0,2025-26
Napoli,0.3591,16,2025-26
Atalanta,0.3565,35,2025-26
Middlesbrough,0.3522,0,2025-26
Castellon,0.3514,0,2025-26
Leverkusen,0.3287,35,2025-26
Braga,0.3278,26,2025-26
Hoffenheim,0.3244,8,2025-26
Palermo,0.3242,0,2025-26
Bournemouth,0.2966,0,2025-26
Marseille,0.293,22,2025-26
Leeds,0.2873,0,2025-26
Reims,0.2861,0,2025-26
Modena,0.2769,0,2025-26
Celta,0.2735,11,2025-26
St Etienne,0.273,0,2025-26
Crystal Palace,0.2688,0,2025-26
Fulham,0.2674,0,2025-26
Brentford,0.2641,0,2025-26
Nott'm Forest,0.2538,0,2025-26
Everton,0.2518,0,2025-26
Troyes,0.2393,0,2025-26
Betis,0.2308,32,2025-26
Southampton,0.2272,0,2025-26
Benfica,0.2268,34,2025-26
Las Palmas,0.2241,0,2025-26
Hannover,0.2063,0,2025-26
Fenerbahce,0.2045,32,2025-26
Lille,0.202,31,2025-26
Bologna,0.1972,19,2025-26
Sheffield United,0.1806,0,2025-26
Elversberg,0.1742,0,2025-26
Paderborn,0.1699,0,2025-26
Frosinone,0.1684,0,2025-26
Birmingham,0.1582,0,2025-26
Strasbourg,0.1473,0,2025-26
Sociedad,0.1452,20,2025-26
Villarreal,0.1427,16,2025-26
Almeria,0.1295,0,2025-26
Schalke 04,0.1207,0,2025-26
La Coruna,0.1066,0,2025-26
Fiorentina,0.1045,25,2025-26
Santander,0.0993,0,2025-26
Lyon,0.0993,21,2025-26
Midtjylland,0.0983,19,2025-26
PSV,0.0857,28,2025-26
Guingamp,0.0769,0,2025-26
Millwall,0.0753,0,2025-26
West Ham,0.0718,10,2025-26
Eibar,0.0608,0,2025-26
Darmstadt,0.0589,0,2025-26
Galatasaray,0.054,30,2025-26
Montpellier,0.0516,0,2025-26
Dunkerque,0.0454,0,2025-26
Cordoba,0.0424,0,2025-26
Watford,0.0306,0,2025-26
Hertha,0.025,0,2025-26
Ath Bilbao,0.0203,22,2025-26
Le Mans,0.0201,0,2025-26
Norwich,0.018,0,2025-26
Malaga,0.0071,0,2025-26
Catanzaro,0.0068,0,2025-26
Monaco,0.004,20,2025-26
Jagiellonia,0.003,12,2025-26
Freiburg,-0.0015,19,2025-26
Legia,-0.0138,18,2025-26
Olympiacos Piraeus,-0.0147,35,2025-26
AZ Alkmaar,-0.0149,18,2025-26
Bochum,-0.0152,0,2025-26
Derby,-0.0196,0,2025-26
Wolves,-0.023,0,2025-26
Sp Gijon,-0.0256,0,2025-26
Cercle Brugge KSV,-0.0258,8,2025-26
SK Rapid,-0.0286,10,2025-26
Rennes,-0.0302,8,2025-26
Sunderland,-0.0328,0,2025-26
Granada,-0.0385,0,2025-26
Fortuna Dusseldorf,-0.0395,0,2025-26
Burgos,-0.0404,0,2025-26
Shamrock Rovers,-0.045,8,2025-26
Swansea,-0.0466,0,2025-26
Magdeburg,-0.0504,0,2025-26
Lugano,-0.0508,14,2025-26
Sudtirol,-0.0546,0,2025-26
Bielefeld,-0.0553,0,2025-26
Red Star,-0.061,0,2025-26
Wrexham,-0.0615,0,2025-26
Bodo/Glimt,-0.0628,36,2025-26
Valladolid,-0.0646,0,2025-26
Nurnberg,-0.0651,0,2025-26
Nordsjaelland,-0.0658,6,2025-26
Celje,-0.066,12,2025-26
Aberdeen,-0.0706,6,2025-26
Juve Stabia,-0.0717,0,2025-26
Zrinjski,-0.0722,6,2025-26
FK Zorya Luhansk,-0.0728,6,2025-26
Osasuna,-0.0735,0,2025-26
Maccabi Haifa,-0.0735,10,2025-26
Klaksvik,-0.0736,6,2025-26
Antwerp,-0.0738,6,2025-26
FC Ballkani,-0.0744,6,2025-26
AEK Athens,-0.0746,6,2025-26
Sampdoria,-0.075,0,2025-26
Rakow,-0.075,6,2025-26
Aris,-0.0752,6,2025-26
Club Brugge KV,-0.0752,34,2025-26
APOEL,-0.0756,8,2025-26
Cesena,-0.0756,0,2025-26
Molde,-0.0768,20,2025-26
Servette,-0.0769,10,2025-26
Sheriff Tiraspol,-0.0772,6,2025-26
PAOK,-0.0773,30,2025-26
Trnava,-0.078,6,2025-26
Cukaricki,-0.0789,6,2025-26
Hacken,-0.0789,6,2025-26
Breidablik,-0.08,6,2025-26
Twente,-0.0806,10,2025-26
Gent,-0.0846,16,2025-26
Djurgarden,-0.085,12,2025-26
Vitoria Guimaraes,-0.0856,8,2025-26
D. Zagreb,-0.0876,8,2025-26
Mlada Boleslav,-0.0896,6,2025-26
Pau FC,-0.0906,0,2025-26
Borac Banja Luka,-0.0907,10,2025-26
Lazio,-0.0934,20,2025-26
O. Ljubljana,-0.0941,14,2025-26
Bristol City,-0.097,0,2025-26
Basaksehir,-0.0981,6,2025-26
West Brom,-0.1032,0,2025-26
Bastia,-0.1033,0,2025-26
Toulouse,-0.1087,8,2025-26
Feyenoord,-0.1104,28,2025-26
Vikingur Reykjavik,-0.1113,8,2025-26
Shakhtar Donetsk,-0.113,16,2025-26
