"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"112850","18-03-26 21:00","Europe","Champions League","2025/2026","Bayern Munich","Atalanta","1.38","5.64","7.56","1.01","28.00","1.11","6.84","1.34","3.37","1.88","2.01","2.86","1.43","1.53","2.53"
"112851","18-03-26 21:00","Europe","Champions League","2025/2026","Liverpool","Galatasaray","1.29","6.83","9.42","1.01","28.00","1.10","7.37","1.30","3.58","1.80","2.10","2.69","1.48","1.68","2.18"
"112852","18-03-26 21:00","Europe","Champions League","2025/2026","Tottenham","Atl. Madrid","2.49","3.85","2.71","1.02","16.00","1.21","4.61","1.62","2.34","2.66","1.49","4.96","1.18","1.57","2.41"
"112849","18-03-26 18:45","Europe","Champions League","2025/2026","Barcelona","Newcastle","1.62","4.59","5.16","1.02","19.00","1.13","6.32","1.43","2.90","2.11","1.80","3.43","1.33","1.49","2.64"
"111413","17-03-26 21:00","Europe","Champions League","2025/2026","Arsenal","Bayer Leverkusen","1.33","5.77","9.45","1.02","15.80","1.20","4.74","1.63","2.32","2.50","1.54","4.45","1.22","2.02","1.80"
"111414","17-03-26 21:00","Europe","Champions League","2025/2026","Chelsea","PSG","2.40","4.29","2.63","1.02","21.00","1.14","5.85","1.42","2.93","2.09","1.81","3.40","1.33","1.41","2.94"
"111415","17-03-26 21:00","Europe","Champions League","2025/2026","Manchester City","Real Madrid","1.49","5.85","5.27","1.02","23.00","1.13","6.32","1.37","3.16","2.11","1.80","3.21","1.36","1.65","2.24"
"111412","17-03-26 18:45","Europe","Champions League","2025/2026","Sporting CP","Bodo/Glimt","1.55","5.59","4.80","1.01","27.00","1.11","6.84","1.34","3.37","1.88","2.01","3.03","1.39","1.53","2.53"
"104038","11-03-26 21:00","Europe","Champions League","2025/2026","Bodo/Glimt","Sporting CP","2.47","3.78","2.77","1.01","17.00","1.16","5.26","1.53","2.50","2.29","1.63","4.06","1.24","1.49","2.64"
"104039","11-03-26 21:00","Europe","Champions League","2025/2026","PSG","Chelsea","1.90","3.86","4.05","1.02","17.50","1.16","5.26","1.53","2.50","2.20","1.68","3.77","1.27","1.49","2.64"
"104040","11-03-26 21:00","Europe","Champions League","2025/2026","Real Madrid","Manchester City","3.57","3.83","2.04","","","1.20","4.56","1.61","2.32","2.47","1.54","4.34","1.22","1.57","2.41"
"104041","11-03-26 18:45","Europe","Champions League","2025/2026","Bayer Leverkusen","Arsenal","6.50","4.41","1.54","1.02","13.80","1.20","4.61","1.70","2.23","2.62","1.49","4.82","1.18","1.74","2.09"
"102386","10-03-26 21:00","Europe","Champions League","2025/2026","Atalanta","Bayern Munich","4.92","4.32","1.68","1.01","22.00","1.12","6.32","1.42","2.90","2.09","1.80","3.36","1.33","1.49","2.64"
"102387","10-03-26 21:00","Europe","Champions League","2025/2026","Atl. Madrid","Tottenham","1.66","3.96","5.67","1.03","11.70","1.25","3.99","1.84","2.03","2.95","1.40","5.76","1.14","1.76","2.06"
"102388","10-03-26 21:00","Europe","Champions League","2025/2026","Newcastle","Barcelona","2.83","4.10","2.30","1.01","22.00","1.12","6.32","1.36","3.16","1.98","1.88","3.15","1.36","1.36","3.17"
"102389","10-03-26 18:45","Europe","Champions League","2025/2026","Galatasaray","Liverpool","4.44","4.31","1.74","1.02","17.50","1.16","5.32","1.52","2.53","2.36","1.59","4.03","1.25","1.56","2.43"
"97325","25-02-26 21:00","Europe","Champions League","2025/2026","Juventus","Galatasaray","1.52","5.41","5.34","1.01","18.50","1.12","6.32","1.36","3.16","1.98","1.88","3.15","1.36","1.57","2.41"
"97326","25-02-26 21:00","Europe","Champions League","2025/2026","PSG","Monaco","1.29","6.83","9.42","1.01","21.00","1.10","7.00","1.32","3.40","1.86","2.00","2.78","1.45","1.60","2.34"
"97327","25-02-26 21:00","Europe","Champions League","2025/2026","Real Madrid","Benfica","1.80","3.99","4.47","1.02","13.80","1.20","4.61","1.70","2.23","2.62","1.49","4.82","1.18","1.64","2.26"
"97328","25-02-26 18:45","Europe","Champions League","2025/2026","Atalanta","Dortmund","2.29","3.87","2.98","1.01","14.00","1.18","4.79","1.60","2.34","2.45","1.55","4.82","1.18","1.56","2.43"
"97305","24-02-26 21:00","Europe","Champions League","2025/2026","Bayer Leverkusen","Olympiacos Piraeus","1.74","4.11","4.74","1.03","13.00","1.25","4.00","1.78","2.10","2.78","1.45","5.11","1.17","1.72","2.12"
"97306","24-02-26 21:00","Europe","Champions League","2025/2026","Inter","Bodo/Glimt","1.23","8.52","10.00","1.01","25.00","1.06","9.00","1.27","3.75","1.67","2.20","2.59","1.50","1.64","2.26"
"97307","24-02-26 21:00","Europe","Champions League","2025/2026","Newcastle","Qarabag","1.18","8.58","15.10","1.01","23.00","1.10","7.00","1.32","3.40","1.95","1.91","2.96","1.40","1.90","1.90"
