"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"105138","12-03-26 21:00","Europe","Conference League","2025/2026","Celje","AEK Athens","4.18","3.95","1.78","1.02","15.00","1.23","4.33","1.75","2.10","2.82","1.45","5.26","1.17","1.66","2.26"
"105139","12-03-26 21:00","Europe","Conference League","2025/2026","Crystal Palace","AEK Larnaca","1.23","6.44","12.30","1.03","14.20","1.25","4.09","1.77","2.08","3.00","1.40","5.59","1.15","2.32","1.63"
"105140","12-03-26 21:00","Europe","Conference League","2025/2026","Fiorentina","Rakow","1.84","3.65","4.27","1.07","9.00","1.33","3.40","2.14","1.73","3.71","1.29","7.24","1.10","1.82","2.01"
"105141","12-03-26 21:00","Europe","Conference League","2025/2026","Sigma Olomouc","Mainz","5.11","3.57","1.74","1.07","9.00","1.40","3.00","2.24","1.67","4.37","1.22","8.82","1.07","1.97","1.86"
"105142","12-03-26 18:45","Europe","Conference League","2025/2026","AZ Alkmaar","Sparta Prague","1.72","3.80","4.80","1.03","13.00","1.28","3.75","1.91","1.91","3.18","1.37","6.32","1.13","1.78","2.06"
"105143","12-03-26 18:45","Europe","Conference League","2025/2026","Lech Poznan","Shakhtar Donetsk","2.80","3.45","2.46","1.05","11.00","1.28","3.75","1.99","1.83","3.37","1.34","6.80","1.11","1.71","2.16"
"105144","12-03-26 18:45","Europe","Conference League","2025/2026","Rijeka","Strasbourg","5.08","3.76","1.70","1.07","9.00","1.35","3.25","2.14","1.73","4.05","1.25","8.08","1.09","1.97","1.86"
"105145","12-03-26 18:45","Europe","Conference League","2025/2026","Samsunspor","Rayo Vallecano","3.65","3.13","2.18","1.12","6.50","1.54","2.50","2.63","1.50","5.26","1.17","10.60","1.05","2.16","1.71"
"97348","26-02-26 21:00","Europe","Conference League","2025/2026","AZ Alkmaar","Noah","1.26","6.54","9.10","1.02","15.00","1.18","5.00","1.54","2.50","2.44","1.57","4.37","1.22","2.17","1.70"
"97349","26-02-26 21:00","Europe","Conference League","2025/2026","Crystal Palace","Zrinjski","1.11","9.41","21.00","1.01","16.00","1.16","5.50","1.54","2.50","2.34","1.62","4.05","1.25","2.91","1.42"
"97350","26-02-26 21:00","Europe","Conference League","2025/2026","Lausanne","Sigma Olomouc","1.90","3.57","4.08","1.06","10.00","1.31","3.50","1.99","1.83","3.60","1.30","6.80","1.11","1.77","2.07"
"97351","26-02-26 21:00","Europe","Conference League","2025/2026","Lech Poznan","KuPS","1.18","8.05","12.50","1.01","19.50","1.10","7.00","1.35","3.25","1.99","1.83","3.18","1.37","2.06","1.78"
"97352","26-02-26 18:45","Europe","Conference League","2025/2026","Celje","Drita","1.44","4.82","6.60","1.02","14.90","1.18","5.00","1.60","2.38","2.53","1.54","4.37","1.22","1.78","2.06"
"97353","26-02-26 18:45","Europe","Conference League","2025/2026","Fiorentina","Jagiellonia","1.53","4.38","5.86","1.03","13.00","1.26","4.00","1.83","2.00","3.01","1.40","5.81","1.14","1.77","2.07"
"97354","26-02-26 18:45","Europe","Conference League","2025/2026","Rijeka","Omonia","2.21","3.36","3.32","1.06","10.00","1.33","3.40","2.03","1.80","3.71","1.29","7.24","1.10","1.78","2.06"
"97355","26-02-26 18:45","Europe","Conference League","2025/2026","Samsunspor","Shkendija","1.31","5.56","9.15","1.02","15.00","1.23","4.33","1.69","2.20","2.82","1.45","4.97","1.18","2.16","1.71"
"97038","19-02-26 21:00","Europe","Conference League","2025/2026","Drita","Celje","4.50","3.66","1.79","1.05","11.00","1.31","3.50","1.99","1.83","3.37","1.34","6.80","1.11","1.77","2.07"
"97039","19-02-26 21:00","Europe","Conference League","2025/2026","Jagiellonia","Fiorentina","3.42","3.25","2.21","1.07","9.00","1.35","3.25","2.14","1.73","3.71","1.29","8.08","1.09","1.86","1.97"
"97040","19-02-26 21:00","Europe","Conference League","2025/2026","Omonia","Rijeka","2.01","3.27","4.02","1.09","8.00","1.40","3.00","2.24","1.67","4.05","1.25","8.82","1.07","1.82","2.01"
"97041","19-02-26 21:00","Europe","Conference League","2025/2026","Shkendija","Samsunspor","4.78","3.61","1.77","1.09","8.00","1.46","2.75","2.34","1.62","4.37","1.22","8.82","1.07","2.16","1.71"
"97042","19-02-26 18:45","Europe","Conference League","2025/2026","KuPS","Lech Poznan","7.47","4.82","1.41","1.02","15.00","1.21","4.50","1.66","2.25","2.63","1.50","4.68","1.20","1.86","1.97"
"97043","19-02-26 18:45","Europe","Conference League","2025/2026","Noah","AZ Alkmaar","3.74","3.45","2.02","1.06","10.00","1.33","3.40","2.03","1.80","3.60","1.30","7.24","1.10","1.86","1.97"
"97044","19-02-26 18:45","Europe","Conference League","2025/2026","Sigma Olomouc","Lausanne","2.32","3.22","3.22","1.09","8.00","1.40","3.00","2.24","1.67","4.37","1.22","8.82","1.07","1.82","2.01"
"97045","19-02-26 18:45","Europe","Conference League","2025/2026","Zrinjski","Crystal Palace","11.00","5.24","1.30","1.05","11.00","1.28","3.75","1.91","1.91","3.18","1.37","6.32","1.13","2.33","1.62"
"91577","18-12-25 21:00","Europe","Conference League","2025/2026","AEK Athens","Univ. Craiova","1.37","4.84","8.73","1.03","13.00","1.26","4.00","1.83","2.00","3.01","1.40","5.81","1.14","2.16","1.71"
"91578","18-12-25 21:00","Europe","Conference League","2025/2026","AEK Larnaca","Shkendija","1.42","5.02","6.69","1.02","15.00","1.21","4.50","1.69","2.20","2.63","1.50","4.97","1.18","1.82","2.01"
