"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"91424","28-05-25 21:00","Europe","Conference League","2024/2025","Betis","Chelsea","4.35","3.89","1.84","1.03","15.00","1.22","4.50","1.70","2.20","2.66","1.50","5.11","1.18","1.58","2.39"
"91425","08-05-25 21:00","Europe","Conference League","2024/2025","Chelsea","Djurgarden","1.30","6.52","9.39","1.02","17.00","1.19","5.00","1.56","2.50","2.47","1.57","4.48","1.22","1.97","1.83"
"91426","08-05-25 21:00","Europe","Conference League","2024/2025","Fiorentina","Betis","2.26","3.49","3.33","1.05","11.60","1.25","4.21","1.82","2.10","2.91","1.43","5.71","1.15","1.56","2.43"
"91427","01-05-25 21:00","Europe","Conference League","2024/2025","Betis","Fiorentina","1.73","3.71","5.01","1.07","9.00","1.35","3.25","2.14","1.73","3.71","1.29","7.24","1.10","1.89","1.93"
"91428","01-05-25 21:00","Europe","Conference League","2024/2025","Djurgarden","Chelsea","9.21","4.86","1.40","1.04","13.00","1.23","4.33","1.77","2.10","2.86","1.45","5.41","1.17","1.89","1.92"
"91429","17-04-25 21:00","Europe","Conference League","2024/2025","Chelsea","Legia","1.15","9.68","16.40","1.01","23.00","1.09","8.42","1.30","3.68","1.82","2.10","2.73","1.48","1.86","1.95"
"91430","17-04-25 21:00","Europe","Conference League","2024/2025","SK Rapid","Djurgarden","1.81","3.88","4.25","1.04","11.60","1.29","3.68","1.90","1.92","3.21","1.36","6.48","1.12","1.79","2.05"
"91431","17-04-25 18:45","Europe","Conference League","2024/2025","Fiorentina","Celje","1.40","5.10","7.43","1.02","15.00","1.14","5.79","1.50","2.63","2.23","1.68","3.85","1.27","1.72","2.15"
"91432","17-04-25 18:45","Europe","Conference League","2024/2025","Jagiellonia","Betis","3.79","3.94","1.89","1.02","15.00","1.21","4.50","1.69","2.20","2.63","1.50","4.97","1.18","1.62","2.33"
"91433","10-04-25 21:00","Europe","Conference League","2024/2025","Betis","Jagiellonia","1.23","6.34","12.70","1.01","18.00","1.14","5.79","1.50","2.63","2.23","1.68","3.85","1.27","2.01","1.82"
"91434","10-04-25 21:00","Europe","Conference League","2024/2025","Celje","Fiorentina","4.78","3.97","1.70","1.03","13.00","1.28","3.75","1.91","1.91","3.18","1.37","6.32","1.13","1.79","2.05"
"91435","10-04-25 21:00","Europe","Conference League","2024/2025","Djurgarden","SK Rapid","2.75","3.20","2.70","1.07","9.00","1.35","3.25","2.24","1.67","4.05","1.25","8.08","1.09","1.84","1.99"
"91436","10-04-25 18:45","Europe","Conference League","2024/2025","Legia","Chelsea","5.66","4.48","1.58","1.02","15.80","1.22","4.56","1.70","2.21","2.73","1.48","5.15","1.18","1.74","2.10"
"91437","13-03-25 21:00","Europe","Conference League","2024/2025","Chelsea","FC Copenhagen","1.58","4.18","6.25","1.05","11.60","1.25","4.21","1.82","2.10","2.91","1.43","5.71","1.15","1.83","1.98"
"91438","13-03-25 21:00","Europe","Conference League","2024/2025","Fiorentina","Panathinaikos","1.44","4.39","8.10","1.03","13.00","1.28","3.75","1.83","2.00","3.01","1.40","5.81","1.14","1.89","1.93"
"91439","13-03-25 21:00","Europe","Conference League","2024/2025","Legia","Molde","1.71","4.09","4.61","1.02","15.00","1.21","4.50","1.66","2.25","2.63","1.50","4.68","1.20","1.61","2.35"
"91440","13-03-25 21:00","Europe","Conference League","2024/2025","Vitoria Guimaraes","Betis","3.44","3.26","2.23","1.06","9.47","1.33","3.42","2.04","1.80","3.85","1.27","7.69","1.09","1.84","1.99"
