"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"112853","18-03-26 16:30","Europe","Europa League","2025/2026","Braga","Ferencvaros","1.50","4.82","6.34","1.02","15.80","1.20","4.74","1.63","2.32","2.50","1.54","5.01","1.18","1.76","2.06"
"105130","12-03-26 21:00","Europe","Europa League","2025/2026","Celta Vigo","Lyon","1.91","3.61","4.34","1.05","10.60","1.30","3.62","1.98","1.90","3.40","1.33","6.83","1.11","1.81","2.00"
"105131","12-03-26 21:00","Europe","Europa League","2025/2026","Ferencvaros","Braga","3.43","3.36","2.26","1.06","9.47","1.34","3.37","2.11","1.80","3.85","1.27","7.69","1.09","1.76","2.06"
"105132","12-03-26 21:00","Europe","Europa League","2025/2026","Genk","Freiburg","3.09","3.30","2.48","1.06","9.47","1.34","3.37","2.11","1.80","3.53","1.31","7.69","1.09","1.76","2.06"
"105133","12-03-26 21:00","Europe","Europa League","2025/2026","Nottingham","Midtjylland","1.59","4.61","5.37","1.02","16.00","1.21","4.61","1.71","2.23","2.66","1.49","4.96","1.18","1.76","2.06"
"105134","12-03-26 18:45","Europe","Europa League","2025/2026","Bologna","AS Roma","3.08","3.08","2.62","1.10","7.00","1.46","2.75","2.44","1.57","4.68","1.20","9.48","1.06","1.96","1.85"
"105135","12-03-26 18:45","Europe","Europa League","2025/2026","Lille","Aston Villa","3.57","3.29","2.24","1.08","8.42","1.37","3.16","2.21","1.73","3.85","1.27","8.40","1.08","1.90","1.90"
"105136","12-03-26 18:45","Europe","Europa League","2025/2026","Panathinaikos","Betis","3.36","3.26","2.34","1.07","9.00","1.36","3.20","2.21","1.73","4.05","1.25","8.08","1.09","1.76","2.06"
"105137","12-03-26 18:45","Europe","Europa League","2025/2026","Stuttgart","FC Porto","1.83","3.76","4.57","1.05","10.50","1.30","3.58","2.01","1.88","3.43","1.33","6.48","1.12","1.83","1.98"
"97340","26-02-26 21:00","Europe","Europa League","2025/2026","Bologna","Brann","1.58","4.58","5.60","1.02","15.00","1.26","4.00","1.80","2.10","3.01","1.40","5.26","1.17","1.83","1.98"
"97341","26-02-26 21:00","Europe","Europa League","2025/2026","Celta Vigo","PAOK","1.69","3.98","5.36","1.06","9.47","1.34","3.37","2.11","1.80","3.85","1.27","7.69","1.09","2.02","1.80"
"97342","26-02-26 21:00","Europe","Europa League","2025/2026","Genk","Din. Zagreb","2.53","3.46","2.90","1.05","10.60","1.29","3.72","1.98","1.90","3.18","1.37","6.42","1.12","1.72","2.12"
"97343","26-02-26 21:00","Europe","Europa League","2025/2026","Nottingham","Fenerbahce","1.58","4.67","5.44","1.02","15.80","1.20","4.74","1.63","2.32","2.50","1.54","4.45","1.22","1.72","2.12"
"97344","26-02-26 18:45","Europe","Europa League","2025/2026","Crvena zvezda","Lille","2.94","3.78","2.35","1.03","13.70","1.26","3.95","1.88","2.01","3.03","1.39","6.02","1.14","1.68","2.18"
"97345","26-02-26 18:45","Europe","Europa League","2025/2026","Ferencvaros","Ludogorets","1.58","4.41","5.86","1.05","11.00","1.31","3.50","1.97","1.91","3.37","1.34","6.32","1.13","2.04","1.78"
"97346","26-02-26 18:45","Europe","Europa League","2025/2026","Plzen","Panathinaikos","2.20","3.28","3.68","1.08","8.42","1.37","3.16","2.21","1.73","3.85","1.27","7.69","1.09","1.90","1.90"
"97347","26-02-26 18:45","Europe","Europa League","2025/2026","Stuttgart","Celtic","1.36","6.11","7.64","1.01","22.00","1.10","7.37","1.34","3.37","1.88","2.01","2.86","1.43","1.60","2.34"
"97030","19-02-26 21:00","Europe","Europa League","2025/2026","Celtic","Stuttgart","3.83","4.04","1.92","1.02","14.90","1.17","5.32","1.54","2.53","2.30","1.63","4.12","1.25","1.49","2.64"
"97031","19-02-26 21:00","Europe","Europa League","2025/2026","Lille","Crvena zvezda","1.57","4.44","5.90","1.02","15.80","1.20","4.74","1.63","2.32","2.50","1.54","4.45","1.22","1.72","2.12"
"97032","19-02-26 21:00","Europe","Europa League","2025/2026","Ludogorets","Ferencvaros","2.86","3.37","2.61","1.06","10.00","1.31","3.50","1.97","1.91","3.37","1.34","6.80","1.11","1.68","2.18"
"97033","19-02-26 21:00","Europe","Europa League","2025/2026","Panathinaikos","Plzen","2.15","3.33","3.78","1.09","8.00","1.40","3.00","2.32","1.67","4.37","1.22","8.82","1.07","1.90","1.90"
"97034","19-02-26 18:45","Europe","Europa League","2025/2026","Brann","Bologna","4.41","3.58","1.91","1.05","11.00","1.28","3.75","1.97","1.91","3.18","1.37","6.32","1.13","1.85","1.96"
"97035","19-02-26 18:45","Europe","Europa League","2025/2026","Din. Zagreb","Genk","1.96","3.60","4.11","1.06","10.00","1.28","3.75","1.97","1.91","3.18","1.37","6.32","1.13","1.72","2.12"
"97036","19-02-26 18:45","Europe","Europa League","2025/2026","Fenerbahce","Nottingham","2.69","3.21","2.88","1.08","8.51","1.33","3.41","2.09","1.81","3.50","1.31","7.62","1.09","1.74","2.09"
"97037","19-02-26 18:45","Europe","Europa League","2025/2026","PAOK","Celta Vigo","2.93","3.16","2.68","1.10","7.00","1.46","2.75","2.53","1.54","4.68","1.20","9.48","1.06","1.96","1.85"
"90654","29-01-26 21:00","Europe","Europa League","2025/2026","Aston Villa","Salzburg","1.32","6.42","8.73","1.01","24.00","1.11","6.84","1.37","3.16","2.01","1.88","3.03","1.39","1.68","2.18"
"90655","29-01-26 21:00","Europe","Europa League","2025/2026","Basel","Plzen","2.00","3.99","3.58","1.02","16.50","1.18","5.00","1.60","2.38","2.44","1.57","4.37","1.22","1.53","2.53"
"90656","29-01-26 21:00","Europe","Europa League","2025/2026","Betis","Feyenoord","1.54","4.88","5.65","1.01","25.00","1.10","7.37","1.34","3.37","1.88","2.01","2.86","1.43","1.46","2.74"
