"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"90465","21-05-25 21:00","Europe","Europa League","2024/2025","Tottenham","Manchester Utd","3.44","3.34","2.28","1.07","9.57","1.31","3.62","2.01","1.90","3.46","1.33","7.12","1.11","1.73","2.10"
"90467","08-05-25 21:00","Europe","Europa League","2024/2025","Manchester Utd","Ath Bilbao","1.83","3.80","4.56","1.06","10.40","1.30","3.65","1.92","1.98","3.30","1.35","6.79","1.12","1.81","2.00"
"90466","08-05-25 21:00","Europe","Europa League","2024/2025","Bodo/Glimt","Tottenham","2.62","4.00","2.51","1.01","17.00","1.19","5.00","1.56","2.50","2.37","1.62","4.14","1.25","1.44","2.79"
"90469","01-05-25 21:00","Europe","Europa League","2024/2025","Tottenham","Bodo/Glimt","1.30","6.08","10.60","1.02","17.00","1.16","5.50","1.48","2.75","2.24","1.73","3.67","1.30","1.76","2.06"
"90468","01-05-25 21:00","Europe","Europa League","2024/2025","Ath Bilbao","Manchester Utd","2.32","3.19","3.50","1.10","7.37","1.44","2.90","2.35","1.63","4.57","1.22","9.52","1.07","1.94","1.86"
"90470","17-04-25 21:00","Europe","Europa League","2024/2025","Ath Bilbao","Rangers","1.36","5.36","9.18","1.03","15.00","1.22","4.50","1.65","2.30","2.57","1.54","4.80","1.20","1.90","1.90"
"90471","17-04-25 21:00","Europe","Europa League","2024/2025","Eintracht Frankfurt","Tottenham","2.41","3.76","2.86","1.02","17.90","1.18","5.26","1.56","2.50","2.35","1.63","4.26","1.24","1.49","2.64"
"90472","17-04-25 21:00","Europe","Europa League","2024/2025","Lazio","Bodo/Glimt","1.48","5.10","6.38","1.02","17.90","1.18","5.26","1.56","2.50","2.35","1.63","4.26","1.24","1.72","2.12"
"90473","17-04-25 21:00","Europe","Europa League","2024/2025","Manchester Utd","Lyon","1.70","4.19","4.86","1.02","18.10","1.20","4.79","1.58","2.45","2.43","1.59","4.22","1.24","1.60","2.34"
"90476","10-04-25 21:00","Europe","Europa League","2024/2025","Tottenham","Eintracht Frankfurt","1.62","4.62","5.13","1.02","17.50","1.18","5.26","1.47","2.77","2.16","1.73","3.94","1.27","1.57","2.41"
"90475","10-04-25 21:00","Europe","Europa League","2024/2025","Rangers","Ath Bilbao","4.37","3.58","1.91","1.06","10.50","1.30","3.68","2.03","1.88","3.27","1.36","6.73","1.12","1.76","2.06"
"90474","10-04-25 21:00","Europe","Europa League","2024/2025","Lyon","Manchester Utd","3.34","3.33","2.32","1.05","11.70","1.26","3.99","1.88","2.03","3.06","1.40","6.17","1.14","1.68","2.18"
"90477","10-04-25 18:45","Europe","Europa League","2024/2025","Bodo/Glimt","Lazio","3.17","3.55","2.31","1.05","11.60","1.27","3.95","1.90","2.01","3.09","1.39","6.23","1.14","1.65","2.24"
"90481","13-03-25 21:00","Europe","Europa League","2024/2025","Tottenham","AZ Alkmaar","1.50","4.59","6.91","1.02","17.00","1.22","4.50","1.61","2.38","2.47","1.57","4.48","1.22","1.65","2.24"
"90480","13-03-25 21:00","Europe","Europa League","2024/2025","Rangers","Fenerbahce","2.98","3.69","2.36","1.03","13.70","1.25","4.21","1.82","2.10","2.91","1.43","5.71","1.15","1.60","2.34"
"90479","13-03-25 21:00","Europe","Europa League","2024/2025","Manchester Utd","Real Sociedad","1.94","3.46","4.40","1.07","9.47","1.34","3.37","2.14","1.80","3.94","1.27","8.05","1.09","1.90","1.90"
"90478","13-03-25 21:00","Europe","Europa League","2024/2025","Lyon","FCSB","1.39","5.13","8.55","1.04","13.00","1.23","4.33","1.82","2.10","2.86","1.45","5.41","1.17","1.96","1.85"
"90483","13-03-25 18:45","Europe","Europa League","2024/2025","Eintracht Frankfurt","Ajax","1.74","4.46","4.29","1.02","18.50","1.18","5.26","1.47","2.77","2.16","1.73","3.61","1.31","1.53","2.53"
"90482","13-03-25 18:45","Europe","Europa League","2024/2025","Ath Bilbao","AS Roma","2.00","3.58","3.99","1.03","9.00","1.37","3.20","2.24","1.73","3.64","1.25","8.45","1.05","1.90","1.90"
"90484","13-03-25 18:45","Europe","Europa League","2024/2025","Lazio","Plzen","1.54","4.44","6.68","1.03","13.70","1.21","4.05","1.64","2.32","2.73","1.48","5.15","1.18","1.76","2.06"
"90485","13-03-25 18:45","Europe","Europa League","2024/2025","Olympiacos Piraeus","Bodo/Glimt","1.61","4.45","5.39","1.01","15.50","1.21","4.74","1.59","2.42","2.54","1.54","4.57","1.22","1.70","2.15"
"90489","06-03-25 21:00","Europe","Europa League","2024/2025","Plzen","Lazio","4.66","3.51","1.88","1.09","8.42","1.34","3.37","2.24","1.73","3.94","1.27","8.05","1.09","1.90","1.90"
"90488","06-03-25 21:00","Europe","Europa League","2024/2025","Bodo/Glimt","Olympiacos Piraeus","2.61","3.27","2.94","1.07","9.47","1.34","3.37","2.14","1.80","3.94","1.27","8.05","1.09","1.83","1.98"
"90487","06-03-25 21:00","Europe","Europa League","2024/2025","AS Roma","Ath Bilbao","2.42","3.34","3.14","1.08","8.51","1.38","3.19","2.23","1.69","4.22","1.24","8.74","1.08","1.89","1.92"
"90486","06-03-25 21:00","Europe","Europa League","2024/2025","Ajax","Eintracht Frankfurt","2.16","3.65","3.42","1.03","13.70","1.22","4.56","1.74","2.21","2.73","1.48","5.15","1.18","1.60","2.34"
"90490","06-03-25 18:45","Europe","Europa League","2024/2025","AZ Alkmaar","Tottenham","3.43","3.46","2.22","1.03","13.70","1.22","4.56","1.74","2.21","2.73","1.48","5.15","1.18","1.57","2.41"
"90491","06-03-25 18:45","Europe","Europa League","2024/2025","FCSB","Lyon","4.78","3.37","1.90","1.09","8.42","1.38","3.16","2.24","1.73","3.94","1.27","8.05","1.09","1.90","1.90"
"90492","06-03-25 18:45","Europe","Europa League","2024/2025","Fenerbahce","Rangers","1.66","3.88","5.93","1.05","11.60","1.25","4.21","1.82","2.10","2.91","1.43","5.71","1.15","1.76","2.06"
"90493","06-03-25 18:45","Europe","Europa League","2024/2025","Real Sociedad","Manchester Utd","2.42","3.16","3.31","1.10","7.37","1.44","2.90","2.35","1.63","4.57","1.22","9.52","1.07","1.96","1.85"
