"id","matchDate","Country","League","Season","homeTeam","awayTeam","referee","FTHG","FTAG","FTR"
"112850","18-03-26 21:00","Europe","Champions League","2025/2026","Bayern Munich","Atalanta","Benoît Bastien","4","1","H"
"112851","18-03-26 21:00","Europe","Champions League","2025/2026","Liverpool","Galatasaray","Paweł Raczkowski","4","0","H"
"112852","18-03-26 21:00","Europe","Champions League","2025/2026","Tottenham","Atl. Madrid","Daniel Siebert","3","2","H"
"112849","18-03-26 18:45","Europe","Champions League","2025/2026","Barcelona","Newcastle","François Letexier","7","2","H"
"111413","17-03-26 21:00","Europe","Champions League","2025/2026","Arsenal","Bayer Leverkusen","Danny Makkelie","2","0","H"
"111414","17-03-26 21:00","Europe","Champions League","2025/2026","Chelsea","PSG","Slavko Vinčić","0","3","A"
"111415","17-03-26 21:00","Europe","Champions League","2025/2026","Manchester City","Real Madrid","Clement Turpin","1","2","A"
"111412","17-03-26 18:45","Europe","Champions League","2025/2026","Sporting CP","Bodo/Glimt","Sandro Schärer","3","0","H"
"104038","11-03-26 21:00","Europe","Champions League","2025/2026","Bodo/Glimt","Sporting CP","Ivan Kružliak","3","0","H"
"104039","11-03-26 21:00","Europe","Champions League","2025/2026","PSG","Chelsea","Alejandro Hernandez","5","2","H"
"104040","11-03-26 21:00","Europe","Champions League","2025/2026","Real Madrid","Manchester City","Maurizio Mariani","3","0","H"
"104041","11-03-26 18:45","Europe","Champions League","2025/2026","Bayer Leverkusen","Arsenal","Halil Umut Meler","1","1","D"
"102386","10-03-26 21:00","Europe","Champions League","2025/2026","Atalanta","Bayern Munich","Espen Eskas","1","6","A"
"102387","10-03-26 21:00","Europe","Champions League","2025/2026","Atl. Madrid","Tottenham","Serdar Gozubuyuk","5","2","H"
"102388","10-03-26 21:00","Europe","Champions League","2025/2026","Newcastle","Barcelona","Marco Guida","1","1","D"
"102389","10-03-26 18:45","Europe","Champions League","2025/2026","Galatasaray","Liverpool","Jesus Gil Manzano","1","0","H"
"97325","25-02-26 21:00","Europe","Champions League","2025/2026","Juventus","Galatasaray","Jonathan Benkenstein Pinheiro","3","0","H"
"97326","25-02-26 21:00","Europe","Champions League","2025/2026","PSG","Monaco","Istvan Kovacs","2","2","D"
"97327","25-02-26 21:00","Europe","Champions League","2025/2026","Real Madrid","Benfica","Slavko Vinčić","2","1","H"
"97328","25-02-26 18:45","Europe","Champions League","2025/2026","Atalanta","Dortmund","José María Sánchez Martínez","4","1","H"
"97305","24-02-26 21:00","Europe","Champions League","2025/2026","Bayer Leverkusen","Olympiacos Piraeus","Michael Oliver","0","0","D"
"97306","24-02-26 21:00","Europe","Champions League","2025/2026","Inter","Bodo/Glimt","Alejandro Hernandez","1","2","A"
"97307","24-02-26 21:00","Europe","Champions League","2025/2026","Newcastle","Qarabag","Davide Massa","3","2","H"
"97308","24-02-26 18:45","Europe","Champions League","2025/2026","Atl. Madrid","Club Brugge KV","Clement Turpin","4","1","H"
"97024","18-02-26 21:00","Europe","Champions League","2025/2026","Bodo/Glimt","Inter","Daniel Siebert","3","1","H"
"97025","18-02-26 21:00","Europe","Champions League","2025/2026","Club Brugge KV","Atl. Madrid","Glenn Nyberg","3","3","D"
"97026","18-02-26 21:00","Europe","Champions League","2025/2026","Olympiacos Piraeus","Bayer Leverkusen","Jonathan Benkenstein Pinheiro","0","2","A"
"97027","18-02-26 18:45","Europe","Champions League","2025/2026","Qarabag","Newcastle","Espen Eskas","1","6","A"
"95925","17-02-26 21:00","Europe","Champions League","2025/2026","Benfica","Real Madrid","François Letexier","0","1","A"
"95926","17-02-26 21:00","Europe","Champions League","2025/2026","Dortmund","Atalanta","Serdar Gozubuyuk","2","0","H"
"95927","17-02-26 21:00","Europe","Champions League","2025/2026","Monaco","PSG","Jesus Gil Manzano","2","3","A"
"95928","17-02-26 18:45","Europe","Champions League","2025/2026","Galatasaray","Juventus","Danny Makkelie","5","2","H"
"87967","28-01-26 21:00","Europe","Champions League","2025/2026","Ajax","Olympiacos Piraeus","François Letexier","1","2","A"
"87968","28-01-26 21:00","Europe","Champions League","2025/2026","Arsenal","Kairat Almaty","Urs Schnyder","3","2","H"
"87969","28-01-26 21:00","Europe","Champions League","2025/2026","Ath Bilbao","Sporting CP","Felix Zwayer","2","3","A"
"87970","28-01-26 21:00","Europe","Champions League","2025/2026","Atl. Madrid","Bodo/Glimt","Maurizio Mariani","1","2","A"
"87971","28-01-26 21:00","Europe","Champions League","2025/2026","Barcelona","FC Copenhagen","Benoît Bastien","4","1","H"
"87972","28-01-26 21:00","Europe","Champions League","2025/2026","Bayer Leverkusen","Villarreal","Espen Eskas","3","0","H"
"87973","28-01-26 21:00","Europe","Champions League","2025/2026","Benfica","Real Madrid","Davide Massa","4","2","H"
"87974","28-01-26 21:00","Europe","Champions League","2025/2026","Club Brugge KV","Marseille","Marco Guida","3","0","H"
"87975","28-01-26 21:00","Europe","Champions League","2025/2026","Dortmund","Inter","Istvan Kovacs","0","2","A"
"87976","28-01-26 21:00","Europe","Champions League","2025/2026","Eintracht Frankfurt","Tottenham","Jesus Gil Manzano","0","2","A"
"87977","28-01-26 21:00","Europe","Champions League","2025/2026","Liverpool","Qarabag","Ivan Kružliak","6","0","H"
"87978","28-01-26 21:00","Europe","Champions League","2025/2026","Manchester City","Galatasaray","Alejandro Hernandez","2","0","H"
"87979","28-01-26 21:00","Europe","Champions League","2025/2026","Monaco","Juventus","José María Sánchez Martínez","0","0","D"
"87980","28-01-26 21:00","Europe","Champions League","2025/2026","Napoli","Chelsea","Clement Turpin","2","3","A"
"87981","28-01-26 21:00","Europe","Champions League","2025/2026","Pafos","Slavia Prague","Tobias Stieler","4","1","H"
"87982","28-01-26 21:00","Europe","Champions League","2025/2026","PSG","Newcastle","Slavko Vinčić","1","1","D"
"87983","28-01-26 21:00","Europe","Champions League","2025/2026","PSV","Bayern Munich","Jonathan Benkenstein Pinheiro","1","2","A"
"87984","28-01-26 21:00","Europe","Champions League","2025/2026","Royale Union SG","Atalanta","Michael Oliver","1","0","H"
"83887","21-01-26 21:00","Europe","Champions League","2025/2026","Atalanta","Ath Bilbao","Danny Makkelie","2","3","A"
"83888","21-01-26 21:00","Europe","Champions League","2025/2026","Bayern Munich","Royale Union SG","Rade Obrenovič","2","0","H"
"83889","21-01-26 21:00","Europe","Champions League","2025/2026","Chelsea","Pafos","Eric Lambrechts","1","0","H"
"83890","21-01-26 21:00","Europe","Champions League","2025/2026","Juventus","Benfica","Serdar Gozubuyuk","2","0","H"
"83891","21-01-26 21:00","Europe","Champions League","2025/2026","Marseille","Liverpool","Slavko Vinčić","0","3","A"
"83892","21-01-26 21:00","Europe","Champions League","2025/2026","Newcastle","PSV","Daniel Siebert","3","0","H"
"83893","21-01-26 21:00","Europe","Champions League","2025/2026","Slavia Prague","Barcelona","Chris Kavanagh","2","4","A"
"83894","21-01-26 18:45","Europe","Champions League","2025/2026","Galatasaray","Atl. Madrid","Istvan Kovacs","1","1","D"
"83895","21-01-26 18:45","Europe","Champions League","2025/2026","Qarabag","Eintracht Frankfurt","Sandro Schärer","3","2","H"
"82056","20-01-26 21:00","Europe","Champions League","2025/2026","FC Copenhagen","Napoli","Irfan Peljto","1","1","D"
"82057","20-01-26 21:00","Europe","Champions League","2025/2026","Inter","Arsenal","Jonathan Benkenstein Pinheiro","1","3","A"
"82058","20-01-26 21:00","Europe","Champions League","2025/2026","Olympiacos Piraeus","Bayer Leverkusen","Maurizio Mariani","2","0","H"
"82059","20-01-26 21:00","Europe","Champions League","2025/2026","Real Madrid","Monaco","Espen Eskas","6","1","H"
"82060","20-01-26 21:00","Europe","Champions League","2025/2026","Sporting CP","PSG","Anthony Taylor","2","1","H"
"82061","20-01-26 21:00","Europe","Champions League","2025/2026","Tottenham","Dortmund","Glenn Nyberg","2","0","H"
"82062","20-01-26 21:00","Europe","Champions League","2025/2026","Villarreal","Ajax","Nick Walsh","1","2","A"
"82063","20-01-26 18:45","Europe","Champions League","2025/2026","Bodo/Glimt","Manchester City","Sven Jablonski","3","1","H"
"82064","20-01-26 16:30","Europe","Champions League","2025/2026","Kairat Almaty","Club Brugge KV","Donatas Rumsas","1","4","A"
"75193","10-12-25 21:00","Europe","Champions League","2025/2026","Ath Bilbao","PSG","Daniel Siebert","0","0","D"
"75194","10-12-25 21:00","Europe","Champions League","2025/2026","Bayer Leverkusen","Newcastle","Serdar Gozubuyuk","2","2","D"
"75195","10-12-25 21:00","Europe","Champions League","2025/2026","Benfica","Napoli","Slavko Vinčić","2","0","H"
"75196","10-12-25 21:00","Europe","Champions League","2025/2026","Club Brugge KV","Arsenal","Sven Jablonski","0","3","A"
"75197","10-12-25 21:00","Europe","Champions League","2025/2026","Dortmund","Bodo/Glimt","Eric Lambrechts","2","2","D"
"75198","10-12-25 21:00","Europe","Champions League","2025/2026","Juventus","Pafos","Jesus Gil Manzano","2","0","H"
"75199","10-12-25 21:00","Europe","Champions League","2025/2026","Real Madrid","Manchester City","Clement Turpin","1","2","A"
"75200","10-12-25 18:45","Europe","Champions League","2025/2026","Qarabag","Ajax","Rade Obrenovič","2","4","A"
"75201","10-12-25 18:45","Europe","Champions League","2025/2026","Villarreal","FC Copenhagen","Ivan Kružliak","2","3","A"
"75177","09-12-25 21:00","Europe","Champions League","2025/2026","Atalanta","Chelsea","Alejandro Hernandez","2","1","H"
"75178","09-12-25 21:00","Europe","Champions League","2025/2026","Barcelona","Eintracht Frankfurt","Davide Massa","2","1","H"
"75179","09-12-25 21:00","Europe","Champions League","2025/2026","Inter","Liverpool","Felix Zwayer","0","1","A"
"75180","09-12-25 21:00","Europe","Champions League","2025/2026","Monaco","Galatasaray","Danny Makkelie","1","0","H"
"75181","09-12-25 21:00","Europe","Champions League","2025/2026","PSV","Atl. Madrid","Michael Oliver","2","3","A"
"75182","09-12-25 21:00","Europe","Champions League","2025/2026","Royale Union SG","Marseille","Jonathan Benkenstein Pinheiro","2","3","A"
"75183","09-12-25 21:00","Europe","Champions League","2025/2026","Tottenham","Slavia Prague","Benoît Bastien","3","0","H"
"75184","09-12-25 18:45","Europe","Champions League","2025/2026","Bayern Munich","Sporting CP","Nick Walsh","3","1","H"
"75185","09-12-25 16:30","Europe","Champions League","2025/2026","Kairat Almaty","Olympiacos Piraeus","Juan Martinez Munuera","0","1","A"
"74770","26-11-25 21:00","Europe","Champions League","2025/2026","Arsenal","Bayern Munich","Marco Guida","3","1","H"
"74771","26-11-25 21:00","Europe","Champions League","2025/2026","Atl. Madrid","Inter","François Letexier","2","1","H"
"74772","26-11-25 21:00","Europe","Champions League","2025/2026","Eintracht Frankfurt","Atalanta","Chris Kavanagh","0","3","A"
"74773","26-11-25 21:00","Europe","Champions League","2025/2026","Liverpool","PSV","Alejandro Hernandez","1","4","A"
"74774","26-11-25 21:00","Europe","Champions League","2025/2026","Olympiacos Piraeus","Real Madrid","Michael Oliver","3","4","A"
"74775","26-11-25 21:00","Europe","Champions League","2025/2026","PSG","Tottenham","Felix Zwayer","5","3","H"
"74776","26-11-25 21:00","Europe","Champions League","2025/2026","Sporting CP","Club Brugge KV","Tobias Stieler","3","0","H"
"74777","26-11-25 18:45","Europe","Champions League","2025/2026","FC Copenhagen","Kairat Almaty","Nick Walsh","3","2","H"
"74778","26-11-25 18:45","Europe","Champions League","2025/2026","Pafos","Monaco","Ivan Kružliak","2","2","D"
"74750","25-11-25 21:00","Europe","Champions League","2025/2026","Bodo/Glimt","Juventus","Danny Makkelie","2","3","A"
"74751","25-11-25 21:00","Europe","Champions League","2025/2026","Chelsea","Barcelona","Slavko Vinčić","3","0","H"
"74752","25-11-25 21:00","Europe","Champions League","2025/2026","Dortmund","Villarreal","Davide Massa","4","0","H"
"74753","25-11-25 21:00","Europe","Champions League","2025/2026","Manchester City","Bayer Leverkusen","Jonathan Benkenstein Pinheiro","0","2","A"
"74754","25-11-25 21:00","Europe","Champions League","2025/2026","Marseille","Newcastle","Maurizio Mariani","2","1","H"
"74755","25-11-25 21:00","Europe","Champions League","2025/2026","Napoli","Qarabag","Szymon Marciniak","2","0","H"
"74756","25-11-25 21:00","Europe","Champions League","2025/2026","Slavia Prague","Ath Bilbao","Donatas Rumsas","0","0","D"
"74757","25-11-25 18:45","Europe","Champions League","2025/2026","Ajax","Benfica","Sven Jablonski","0","2","A"
"74758","25-11-25 18:45","Europe","Champions League","2025/2026","Galatasaray","Royale Union SG","José María Sánchez Martínez","0","1","A"
"74323","05-11-25 21:00","Europe","Champions League","2025/2026","Ajax","Galatasaray","Benoît Bastien","0","3","A"
"74324","05-11-25 21:00","Europe","Champions League","2025/2026","Benfica","Bayer Leverkusen","Simone Sozza","0","1","A"
"74325","05-11-25 21:00","Europe","Champions League","2025/2026","Club Brugge KV","Barcelona","Anthony Taylor","3","3","D"
"74326","05-11-25 21:00","Europe","Champions League","2025/2026","Inter","Kairat Almaty","Luís Godinho","2","1","H"
"74327","05-11-25 21:00","Europe","Champions League","2025/2026","Manchester City","Dortmund","Szymon Marciniak","4","1","H"
"74328","05-11-25 21:00","Europe","Champions League","2025/2026","Marseille","Atalanta","José María Sánchez Martínez","0","1","A"
"74329","05-11-25 21:00","Europe","Champions League","2025/2026","Newcastle","Ath Bilbao","Ivan Kružliak","2","0","H"
"74330","05-11-25 18:45","Europe","Champions League","2025/2026","Pafos","Villarreal","Sven Jablonski","1","0","H"
"74331","05-11-25 18:45","Europe","Champions League","2025/2026","Qarabag","Chelsea","Sebastian Gishamer","2","2","D"
"74305","04-11-25 21:00","Europe","Champions League","2025/2026","Atl. Madrid","Royale Union SG","Espen Eskas","3","1","H"
"74306","04-11-25 21:00","Europe","Champions League","2025/2026","Bodo/Glimt","Monaco","Damian Sylwestrzak","0","1","A"
