"id","matchDate","Country","League","Season","homeTeam","awayTeam","referee","FTHG","FTAG","FTR"
"91424","28-05-25 21:00","Europe","Conference League","2024/2025","Betis","Chelsea","Irfan Peljto","1","4","A"
"91425","08-05-25 21:00","Europe","Conference League","2024/2025","Chelsea","Djurgarden","Jonathan Benkenstein Pinheiro","1","0","H"
"91426","08-05-25 21:00","Europe","Conference League","2024/2025","Fiorentina","Betis","Glenn Nyberg","2","1","H"
"91427","01-05-25 21:00","Europe","Conference League","2024/2025","Betis","Fiorentina","Michael Oliver","2","1","H"
"91428","01-05-25 21:00","Europe","Conference League","2024/2025","Djurgarden","Chelsea","Sandro Schärer","1","4","A"
"91429","17-04-25 21:00","Europe","Conference League","2024/2025","Chelsea","Legia","Alejandro Hernandez","1","2","A"
"91430","17-04-25 21:00","Europe","Conference League","2024/2025","SK Rapid","Djurgarden","Anthony Taylor","1","2","A"
"91431","17-04-25 18:45","Europe","Conference League","2024/2025","Fiorentina","Celje","Jonathan Benkenstein Pinheiro","2","2","D"
"91432","17-04-25 18:45","Europe","Conference League","2024/2025","Jagiellonia","Betis","Clement Turpin","1","1","D"
"91433","10-04-25 21:00","Europe","Conference League","2024/2025","Betis","Jagiellonia","Anthony Taylor","2","0","H"
"91434","10-04-25 21:00","Europe","Conference League","2024/2025","Celje","Fiorentina","Felix Zwayer","1","2","A"
"91435","10-04-25 21:00","Europe","Conference League","2024/2025","Djurgarden","SK Rapid","Tobias Stieler","0","1","A"
"91436","10-04-25 18:45","Europe","Conference League","2024/2025","Legia","Chelsea","Serdar Gozubuyuk","0","3","A"
"91437","13-03-25 21:00","Europe","Conference League","2024/2025","Chelsea","FC Copenhagen","Radu Marian Petrescu","1","0","H"
"91438","13-03-25 21:00","Europe","Conference League","2024/2025","Fiorentina","Panathinaikos","John Beaton","3","1","H"
"91439","13-03-25 21:00","Europe","Conference League","2024/2025","Legia","Molde","Matej Jug","1","0","H"
"91440","13-03-25 21:00","Europe","Conference League","2024/2025","Vitoria Guimaraes","Betis","Serdar Gozubuyuk","0","4","A"
"91441","13-03-25 18:45","Europe","Conference League","2024/2025","Cercle Brugge KSV","Jagiellonia","Morten Krogh","2","0","H"
"91442","13-03-25 18:45","Europe","Conference League","2024/2025","Djurgarden","Pafos","Sebastian Gishamer","3","0","H"
"91443","13-03-25 18:45","Europe","Conference League","2024/2025","Lugano","Celje","Andris Treimanis","4","3","H"
"91444","13-03-25 18:45","Europe","Conference League","2024/2025","SK Rapid","Borac Banja Luka","Allard Lindhout","1","1","D"
"91445","06-03-25 21:00","Europe","Conference League","2024/2025","Borac Banja Luka","SK Rapid","Jérôme Brisard","1","1","D"
"91446","06-03-25 21:00","Europe","Conference League","2024/2025","Celje","Lugano","Antonio Nobre","1","0","H"
"91447","06-03-25 21:00","Europe","Conference League","2024/2025","Jagiellonia","Cercle Brugge KSV","Anastasios Sidiropoulos","3","0","H"
"91448","06-03-25 21:00","Europe","Conference League","2024/2025","Pafos","Djurgarden","Giorgi Kruashvili","1","0","H"
