"id","matchDate","Country","League","Season","homeTeam","awayTeam","referee","FTHG","FTAG","FTR"
"112853","18-03-26 16:30","Europe","Europa League","2025/2026","Braga","Ferencvaros","Glenn Nyberg","4","0","H"
"105130","12-03-26 21:00","Europe","Europa League","2025/2026","Celta Vigo","Lyon","Eric Lambrechts","1","1","D"
"105131","12-03-26 21:00","Europe","Europa League","2025/2026","Ferencvaros","Braga","Nick Walsh","2","0","H"
"105132","12-03-26 21:00","Europe","Europa League","2025/2026","Genk","Freiburg","Chris Kavanagh","1","0","H"
"105133","12-03-26 21:00","Europe","Europa League","2025/2026","Nottingham","Midtjylland","Rade Obrenovič","0","1","A"
"105134","12-03-26 18:45","Europe","Europa League","2025/2026","Bologna","AS Roma","Sven Jablonski","1","1","D"
"105135","12-03-26 18:45","Europe","Europa League","2025/2026","Lille","Aston Villa","José María Sánchez Martínez","0","1","A"
"105136","12-03-26 18:45","Europe","Europa League","2025/2026","Panathinaikos","Betis","Szymon Marciniak","1","0","H"
"105137","12-03-26 18:45","Europe","Europa League","2025/2026","Stuttgart","FC Porto","Donatas Rumsas","1","2","A"
"97340","26-02-26 21:00","Europe","Europa League","2025/2026","Bologna","Brann","Benoît Bastien","1","0","H"
"97341","26-02-26 21:00","Europe","Europa League","2025/2026","Celta Vigo","PAOK","Marco Guida","1","0","H"
"97342","26-02-26 21:00","Europe","Europa League","2025/2026","Genk","Din. Zagreb","Felix Zwayer","1","3","A"
"97343","26-02-26 21:00","Europe","Europa League","2025/2026","Nottingham","Fenerbahce","Maurizio Mariani","1","2","A"
"97344","26-02-26 18:45","Europe","Europa League","2025/2026","Crvena zvezda","Lille","Anthony Taylor","0","1","A"
"97345","26-02-26 18:45","Europe","Europa League","2025/2026","Ferencvaros","Ludogorets","Chris Kavanagh","2","0","H"
"97346","26-02-26 18:45","Europe","Europa League","2025/2026","Plzen","Panathinaikos","Donatas Rumsas","1","1","D"
"97347","26-02-26 18:45","Europe","Europa League","2025/2026","Stuttgart","Celtic","Irfan Peljto","0","1","A"
"97030","19-02-26 21:00","Europe","Europa League","2025/2026","Celtic","Stuttgart","Eric Lambrechts","1","4","A"
"97031","19-02-26 21:00","Europe","Europa League","2025/2026","Lille","Crvena zvezda","Sven Jablonski","0","1","A"
"97032","19-02-26 21:00","Europe","Europa League","2025/2026","Ludogorets","Ferencvaros","Tobias Stieler","2","1","H"
"97033","19-02-26 21:00","Europe","Europa League","2025/2026","Panathinaikos","Plzen","Nick Walsh","2","2","D"
"97034","19-02-26 18:45","Europe","Europa League","2025/2026","Brann","Bologna","Rade Obrenovič","0","1","A"
"97035","19-02-26 18:45","Europe","Europa League","2025/2026","Din. Zagreb","Genk","Halil Umut Meler","1","3","A"
"97036","19-02-26 18:45","Europe","Europa League","2025/2026","Fenerbahce","Nottingham","Sandro Schärer","0","3","A"
"97037","19-02-26 18:45","Europe","Europa League","2025/2026","PAOK","Celta Vigo","Ivan Kružliak","1","2","A"
"90654","29-01-26 21:00","Europe","Europa League","2025/2026","Aston Villa","Salzburg","Rohit Saggi","3","2","H"
"90655","29-01-26 21:00","Europe","Europa League","2025/2026","Basel","Plzen","Giorgi Kruashvili","0","1","A"
