"id","matchDate","Country","League","Season","homeTeam","awayTeam","referee","FTHG","FTAG","FTR"
"90465","21-05-25 21:00","Europe","Europa League","2024/2025","Tottenham","Manchester Utd","Felix Zwayer","1","0","H"
"90466","08-05-25 21:00","Europe","Europa League","2024/2025","Bodo/Glimt","Tottenham","Maurizio Mariani","0","2","A"
"90467","08-05-25 21:00","Europe","Europa League","2024/2025","Manchester Utd","Ath Bilbao","Daniel Siebert","4","1","H"
"90468","01-05-25 21:00","Europe","Europa League","2024/2025","Ath Bilbao","Manchester Utd","Espen Eskas","0","3","A"
"90469","01-05-25 21:00","Europe","Europa League","2024/2025","Tottenham","Bodo/Glimt","José María Sánchez Martínez","3","1","H"
"90470","17-04-25 21:00","Europe","Europa League","2024/2025","Ath Bilbao","Rangers","Irfan Peljto","2","0","H"
"90471","17-04-25 21:00","Europe","Europa League","2024/2025","Eintracht Frankfurt","Tottenham","Davide Massa","0","1","A"
"90472","17-04-25 21:00","Europe","Europa League","2024/2025","Lazio","Bodo/Glimt","Daniel Siebert","2","0","H"
"90473","17-04-25 21:00","Europe","Europa League","2024/2025","Manchester Utd","Lyon","Sandro Schärer","2","2","D"
"90474","10-04-25 21:00","Europe","Europa League","2024/2025","Lyon","Manchester Utd","Glenn Nyberg","2","2","D"
"90475","10-04-25 21:00","Europe","Europa League","2024/2025","Rangers","Ath Bilbao","Istvan Kovacs","0","0","D"
"90476","10-04-25 21:00","Europe","Europa League","2024/2025","Tottenham","Eintracht Frankfurt","Szymon Marciniak","1","1","D"
"90477","10-04-25 18:45","Europe","Europa League","2024/2025","Bodo/Glimt","Lazio","Michael Oliver","2","0","H"
"90478","13-03-25 21:00","Europe","Europa League","2024/2025","Lyon","FCSB","Anthony Taylor","4","0","H"
"90479","13-03-25 21:00","Europe","Europa League","2024/2025","Manchester Utd","Real Sociedad","Benoît Bastien","4","1","H"
"90480","13-03-25 21:00","Europe","Europa League","2024/2025","Rangers","Fenerbahce","Espen Eskas","0","2","A"
"90481","13-03-25 21:00","Europe","Europa League","2024/2025","Tottenham","AZ Alkmaar","Jonathan Benkenstein Pinheiro","3","1","H"
"90482","13-03-25 18:45","Europe","Europa League","2024/2025","Ath Bilbao","AS Roma","Clement Turpin","3","1","H"
"90483","13-03-25 18:45","Europe","Europa League","2024/2025","Eintracht Frankfurt","Ajax","Irfan Peljto","4","1","H"
"90484","13-03-25 18:45","Europe","Europa League","2024/2025","Lazio","Plzen","Danny Makkelie","1","1","D"
"90485","13-03-25 18:45","Europe","Europa League","2024/2025","Olympiacos Piraeus","Bodo/Glimt","Felix Zwayer","2","1","H"
"90486","06-03-25 21:00","Europe","Europa League","2024/2025","Ajax","Eintracht Frankfurt","Simone Sozza","1","2","A"
"90487","06-03-25 21:00","Europe","Europa League","2024/2025","AS Roma","Ath Bilbao","Sandro Schärer","2","1","H"
"90488","06-03-25 21:00","Europe","Europa League","2024/2025","Bodo/Glimt","Olympiacos Piraeus","Mykola Balakin","3","0","H"
"90489","06-03-25 21:00","Europe","Europa League","2024/2025","Plzen","Lazio","Donatas Rumsas","1","2","A"
"90490","06-03-25 18:45","Europe","Europa League","2024/2025","AZ Alkmaar","Tottenham","Rade Obrenovič","1","0","H"
"90491","06-03-25 18:45","Europe","Europa League","2024/2025","FCSB","Lyon","Tobias Stieler","1","3","A"
"90492","06-03-25 18:45","Europe","Europa League","2024/2025","Fenerbahce","Rangers","Alejandro Hernandez","1","3","A"
"90493","06-03-25 18:45","Europe","Europa League","2024/2025","Real Sociedad","Manchester Utd","Ivan Kružliak","1","1","D"
"90494","20-02-25 21:00","Europe","Europa League","2024/2025","Ajax","Royale Union SG","Chris Kavanagh","0","2","A"
