Date,Div,HomeTeam,AwayTeam,OddsH,OddsD,OddsA,OddsOver,OddsUnder,precipitation,wind_speed,temperature,weather_adj
2026-03-20,D1,RB Leipzig,Hoffenheim,1.95,4.0,3.45,,,0.6,6.2,7.4,1.0
2026-03-20,E0,Bournemouth,Man United,3.32,3.8,2.15,,,0.0,11.2,9.2,0.98
2026-03-20,F1,Lens,Angers,1.23,6.8,13.27,,,0.0,12.2,10.1,0.98
2026-03-20,F2,Amiens,Le Mans,3.6,3.3,1.97,1.93,1.76,0.0,14.0,11.6,0.98
2026-03-20,F2,Boulogne,Nancy,2.43,3.05,2.85,2.25,1.56,0.0,17.1,9.6,0.98
2026-03-20,F2,Clermont,Red Star,2.7,3.15,2.45,2.0,1.7,0.0,9.8,9.5,1.0
2026-03-20,F2,Laval,Grenoble,2.33,3.05,3.0,2.28,1.55,0.0,16.5,10.6,0.98
2026-03-20,F2,Pau FC,Montpellier,2.6,3.4,2.45,1.71,1.97,0.0,8.4,11.3,1.0
2026-03-20,F2,Rodez,Bastia,2.33,3.05,2.9,2.02,1.68,0.0,11.3,7.3,0.98
2026-03-20,I1,Genoa,Udinese,2.1,2.95,3.8,,,0.0,11.2,12.9,0.98
2026-03-20,SP1,Villarreal,Sociedad,1.91,3.65,3.7,,,0.0,16.6,12.3,0.98
2026-03-20,SP2,Huesca,Almeria,3.4,3.3,2.0,1.92,1.73,0.0,18.2,9.9,0.98
2026-03-21,D1,Heidenheim,Leverkusen,5.3,4.3,1.54,,,0.6,13.0,6.2,0.98
2026-03-21,D1,FC Koln,M'gladbach,2.3,3.5,3.05,1.73,1.96,0.0,13.7,10.1,0.98
2026-03-21,D1,Bayern Munich,Union Berlin,1.16,8.4,15.0,,,0.0,15.1,5.3,0.98
2026-03-21,D1,Wolfsburg,Werder Bremen,2.4,3.85,2.85,,,0.0,12.6,6.4,0.98
2026-03-21,D1,Dortmund,Hamburg,1.42,5.0,6.6,,,0.0,15.1,8.0,0.98
2026-03-21,D2,Nurnberg,Kaiserslautern,2.1,3.7,3.0,1.57,2.18,0.1,13.9,7.9,0.98
2026-03-21,D2,Elversberg,Bielefeld,1.9,3.7,3.8,1.62,2.25,0.0,12.2,9.0,0.98
2026-03-21,D2,Paderborn,Dresden,1.67,3.9,4.4,1.51,2.32,0.0,15.6,7.5,0.98
2026-03-21,D2,Darmstadt,Schalke 04,2.48,3.45,2.6,1.72,1.96,0.0,11.5,10.1,0.98
2026-03-21,E0,Brighton,Liverpool,3.03,3.64,2.33,,,0.0,15.8,7.2,0.98
2026-03-21,E0,Fulham,Burnley,1.57,4.18,6.12,,,0.0,11.2,9.3,0.98
2026-03-21,E0,Everton,Chelsea,3.52,3.55,2.14,,,0.0,6.8,10.4,1.0
2026-03-21,E0,Leeds,Brentford,2.52,3.53,2.83,1.88,2.01,0.0,7.6,10.1,1.0
2026-03-21,F1,Toulouse,Lorient,1.99,3.12,4.73,,,0.0,6.4,11.4,1.0
2026-03-21,F1,Auxerre,Brest,2.37,3.28,3.26,,,0.0,15.3,9.9,0.98
2026-03-21,F1,Nice,Paris SG,7.89,5.76,1.35,,,2.3,9.0,12.2,0.97
2026-03-21,F2,Guingamp,Reims,2.6,3.44,2.71,1.98,1.88,0.0,16.5,8.7,0.98
2026-03-21,F2,Troyes,Dunkerque,1.94,3.35,3.45,1.85,1.82,0.0,12.6,9.5,0.98
2026-03-21,F2,St Etienne,Annecy,1.82,3.5,4.0,1.83,1.83,0.0,11.0,8.9,0.98
2026-03-21,I1,Parma,Cremonese,2.18,3.17,4.14,2.25,1.75,0.0,18.7,9.5,0.98
2026-03-21,I1,Milan,Torino,1.37,4.9,8.0,1.77,2.0,0.0,10.9,11.4,0.98
2026-03-21,I1,Juventus,Sassuolo,1.24,5.7,10.0,,,1.9,8.9,10.5,1.0
2026-03-21,I2,Cesena,Catanzaro,2.3,3.3,2.88,1.88,1.8,0.0,11.6,8.6,0.98
2026-03-21,I2,Juve Stabia,Spezia,2.23,3.15,3.15,2.12,1.62,0.0,11.2,10.1,0.98
2026-03-21,I2,Padova,Palermo,4.1,3.45,1.81,1.92,1.77,0.0,10.7,10.7,0.98
2026-03-21,I2,Monza,Venezia,2.55,3.05,2.7,1.93,1.76,0.1,11.2,11.0,0.98
2026-03-21,I2,Modena,Mantova,1.57,3.8,5.1,1.76,1.93,0.0,14.8,10.0,0.98
2026-03-21,SP1,Elche,Mallorca,2.1,3.25,3.5,,,1.9,10.6,12.4,0.98
2026-03-21,SP1,Espanol,Getafe,2.4,2.85,3.4,,,0.0,11.4,10.9,0.98
2026-03-21,SP1,Osasuna,Girona,2.1,3.35,3.35,,,0.0,14.2,10.1,0.98
2026-03-21,SP1,Levante,Oviedo,2.15,3.3,3.35,,,1.6,7.2,12.6,1.0
2026-03-21,SP1,Sevilla,Valencia,2.25,3.1,3.35,,,1.1,7.8,15.6,1.0
2026-03-21,SP2,Leganes,Ceuta,1.83,3.45,3.9,1.88,1.76,0.5,5.9,9.4,1.0
2026-03-21,SP2,Santander,Albacete,1.81,3.75,4.1,1.68,2.02,0.0,15.0,11.0,0.98
2026-03-21,SP2,Andorra,Eibar,2.5,3.25,2.75,2.0,1.7,0.0,10.6,7.1,0.98
2026-03-21,SP2,Cadiz,Malaga,2.48,3.25,2.63,1.88,1.77,0.7,29.9,15.8,0.96
2026-03-21,SP2,La Coruna,Zaragoza,1.6,3.7,5.1,1.83,1.8,0.0,13.4,13.8,0.98
