sample,half_life,market_weight,rmse,seasons,hl_bin,mw_bin
0,121.0,0.33363775832823817,1.663932111270713,"['2019-20', '2020-21', '2017-18', '2023-24']",121-270,0.2-0.4
1,277.0,0.8983665473615358,1.563927065214658,"['2020-21', '2017-18', '2018-19', '2019-20']",271-730,0.8-1.0
2,,0.7625321470706523,1.561233840423757,"['2022-23', '2017-18', '2023-24', '2018-19']",271-730,0.6-0.8
3,340.0,0.2705349409101757,1.6719801394455516,"['2020-21', '2023-24', '2022-23', '2017-18']",271-730,0.2-0.4
4,45.0,0.364192017772054,1.629336517867738,"['2018-19', '2015-16', '2022-23', '2023-24']",30-60,0.2-0.4
5,97.0,0.3144399802042629,1.6257785740130863,"['2015-16', '2016-17', '2018-19', '2017-18']",61-120,0.2-0.4
6,234.0,0.15761164862499966,1.6914646036288292,"['2023-24', '2016-17', '2015-16', '2019-20']",121-270,0.0-0.2
7,123.0,0.14778337254219165,1.7039418811430544,"['2019-20', '2020-21', '2015-16', '2016-17']",121-270,0.0-0.2
8,176.0,0.936127463375744,1.5582056857014115,"['2016-17', '2019-20', '2020-21', '2022-23']",121-270,0.8-1.0
9,,0.43790403719875326,1.6166530397282386,"['2018-19', '2022-23', '2021-22', '2023-24']",271-730,0.4-0.6
10,225.0,0.38331982277740984,1.6304622451315944,"['2020-21', '2018-19', '2023-24', '2017-18']",121-270,0.2-0.4
11,93.0,0.7296857086773779,1.57411853798645,"['2015-16', '2020-21', '2019-20', '2022-23']",61-120,0.6-0.8
12,518.0,0.5529930652528999,1.597363490934248,"['2020-21', '2018-19', '2022-23', '2021-22']",271-730,0.4-0.6
13,55.0,0.9361399868384622,1.5502225743172435,"['2020-21', '2016-17', '2022-23', '2017-18']",30-60,0.8-1.0
14,34.0,0.7803014939093922,1.5551626087381536,"['2015-16', '2016-17', '2018-19', '2017-18']",30-60,0.6-0.8
15,265.0,0.47936956412454035,1.6152828369852126,"['2021-22', '2019-20', '2018-19', '2022-23']",121-270,0.4-0.6
16,658.0,0.3763594734808262,1.6206379919297846,"['2018-19', '2021-22', '2022-23', '2016-17']",271-730,0.2-0.4
17,97.0,0.986631544924322,1.563123961946696,"['2019-20', '2016-17', '2015-16', '2023-24']",61-120,0.8-1.0
18,54.0,0.7177602360036435,1.5674305796461734,"['2015-16', '2016-17', '2020-21', '2017-18']",30-60,0.6-0.8
19,,0.9511946600038411,1.5595590528256917,"['2015-16', '2017-18', '2023-24', '2022-23']",271-730,0.8-1.0
20,61.0,0.11847857721704136,1.7111239592358587,"['2020-21', '2018-19', '2022-23', '2015-16']",61-120,0.0-0.2
21,121.0,0.8505336791907826,1.5700626139852347,"['2015-16', '2017-18', '2023-24', '2019-20']",121-270,0.8-1.0
22,280.0,0.6370738839912076,1.5756240702442337,"['2018-19', '2016-17', '2021-22', '2015-16']",271-730,0.6-0.8
23,427.0,0.12192167833511258,1.7040019053551732,"['2019-20', '2021-22', '2015-16', '2018-19']",271-730,0.0-0.2
24,103.0,0.5882579999692207,1.5918616738357878,"['2018-19', '2023-24', '2017-18', '2019-20']",61-120,0.4-0.6
25,264.0,0.6860963651054488,1.5880364733927923,"['2017-18', '2023-24', '2021-22', '2020-21']",121-270,0.6-0.8
26,,0.012302685888602838,1.7444602735317827,"['2017-18', '2021-22', '2023-24', '2015-16']",271-730,0.0-0.2
27,30.0,0.45431796184174655,1.63461069121407,"['2016-17', '2015-16', '2021-22', '2019-20']",30-60,0.4-0.6
28,250.0,0.8253995111963212,1.5727593318971458,"['2023-24', '2020-21', '2017-18', '2019-20']",121-270,0.8-1.0
29,362.0,0.29535902534408986,1.636091848024476,"['2023-24', '2018-19', '2017-18', '2016-17']",271-730,0.2-0.4
30,184.0,0.4585480817985511,1.6274929673511047,"['2022-23', '2023-24', '2019-20', '2020-21']",121-270,0.4-0.6
31,,0.4423141270678932,1.6080254857758658,"['2016-17', '2018-19', '2023-24', '2020-21']",271-730,0.4-0.6
32,,0.3019273914424916,1.6429174953851386,"['2021-22', '2016-17', '2015-16', '2017-18']",271-730,0.2-0.4
33,134.0,0.9184418955155542,1.5670826884096853,"['2020-21', '2017-18', '2022-23', '2021-22']",121-270,0.8-1.0
34,344.0,0.7812940354315159,1.5738410110686563,"['2020-21', '2023-24', '2021-22', '2022-23']",271-730,0.6-0.8
35,175.0,0.1105884109961105,1.6896774759157316,"['2022-23', '2018-19', '2017-18', '2016-17']",121-270,0.0-0.2
