Div,Season,N,RMSE,R2,HomeAdv
D1,2015-16,306,1.654,0.2083,0.37
D1,2016-17,306,1.6164,0.2186,0.423
D1,2017-18,306,1.5739,0.1732,0.392
D1,2018-19,306,1.8899,0.2116,0.408
D1,2019-20,306,1.9423,0.2148,0.316
D1,2020-21,306,1.6506,0.2464,0.244
D1,2021-22,306,1.7763,0.2147,0.4
D1,2022-23,306,1.868,0.1623,0.398
D1,2023-24,306,1.7215,0.2705,0.452
D2,2015-16,306,1.6112,0.1241,0.281
D2,2016-17,306,1.4968,0.0851,0.292
D2,2017-18,306,1.556,0.0124,0.289
D2,2018-19,306,1.7024,0.0575,0.276
D2,2019-20,306,1.6827,0.0321,0.234
D2,2020-21,306,1.6147,0.1395,0.197
D2,2021-22,306,1.7301,0.1668,0.3
D2,2022-23,306,1.6035,0.1351,0.282
D2,2023-24,306,1.7477,0.1378,0.348
E0,2015-16,380,1.5688,0.1789,0.351
E0,2016-17,380,1.5981,0.3267,0.336
E0,2017-18,380,1.5782,0.2659,0.336
E0,2018-19,380,1.569,0.2734,0.324
E0,2019-20,380,1.6748,0.292,0.247
E0,2020-21,380,1.6966,0.2025,0.175
E0,2021-22,380,1.6722,0.2933,0.275
E0,2022-23,380,1.6754,0.1984,0.3
E0,2023-24,380,1.7467,0.3014,0.338
E1,2015-16,552,1.485,0.1291,0.294
E1,2016-17,552,1.501,0.1056,0.326
E1,2017-18,552,1.5255,0.1376,0.31
E1,2018-19,552,1.4037,0.1552,0.291
E1,2019-20,552,1.5776,0.1167,0.244
E1,2020-21,552,1.5257,0.1137,0.166
E1,2021-22,552,1.6048,0.1213,0.286
E1,2022-23,552,1.4811,0.1138,0.289
E1,2023-24,552,1.6036,0.1175,0.305
F1,2015-16,380,1.6092,0.2203,0.341
F1,2016-17,380,1.677,0.2549,0.381
F1,2017-18,380,1.6015,0.2504,0.38
F1,2018-19,380,1.5465,0.1573,0.356
F1,2019-20,279,1.5073,0.2031,0.35
F1,2020-21,380,1.5611,0.2549,0.191
F1,2021-22,380,1.5756,0.2635,0.312
F1,2022-23,380,1.5949,0.2042,0.289
F1,2023-24,306,1.4624,0.2016,0.287
F2,2015-16,380,1.4124,0.0773,0.323
F2,2016-17,380,1.4463,0.1025,0.3
F2,2017-18,380,1.6081,0.1525,0.311
F2,2018-19,380,1.4602,0.092,0.239
F2,2019-20,280,1.4032,0.0831,0.212
F2,2020-21,380,1.4529,0.1412,0.149
F2,2021-22,380,1.4627,0.1588,0.254
F2,2022-23,380,1.4663,0.1242,0.234
F2,2023-24,379,1.454,0.0918,0.229
I1,2015-16,380,1.4457,0.2674,0.312
I1,2016-17,380,1.5484,0.301,0.35
I1,2017-18,380,1.5303,0.3069,0.3
I1,2018-19,380,1.445,0.2071,0.285
I1,2019-20,380,1.5972,0.2845,0.196
I1,2020-21,380,1.5334,0.2915,0.145
I1,2021-22,380,1.5251,0.2301,0.258
I1,2022-23,380,1.4783,0.2028,0.225
I1,2023-24,380,1.4118,0.2623,0.241
I2,2015-16,462,1.5114,0.0823,0.387
I2,2016-17,462,1.3281,0.0547,0.395
I2,2017-18,462,1.4108,0.1056,0.371
I2,2018-19,342,1.3748,0.1063,0.361
I2,2019-20,374,1.4697,0.0234,0.27
I2,2020-21,379,1.4511,0.1219,0.226
I2,2021-22,380,1.46,0.1282,0.324
I2,2022-23,380,1.38,0.1149,0.294
I2,2023-24,380,1.3554,0.1045,0.284
SP1,2015-16,380,1.6619,0.3356,0.444
SP1,2016-17,380,1.5328,0.3887,0.435
SP1,2017-18,380,1.595,0.2167,0.443
SP1,2018-19,380,1.4732,0.1301,0.4
SP1,2019-20,380,1.4522,0.1888,0.327
SP1,2020-21,380,1.4163,0.2322,0.232
SP1,2021-22,380,1.4708,0.1781,0.348
SP1,2022-23,380,1.4102,0.1527,0.352
SP1,2023-24,380,1.4404,0.2483,0.389
SP2,2015-16,462,1.3633,0.0607,0.407
SP2,2016-17,462,1.3183,0.042,0.411
SP2,2017-18,462,1.375,0.0893,0.424
SP2,2018-19,441,1.3192,0.093,0.396
SP2,2019-20,462,1.3174,0.0137,0.277
SP2,2020-21,462,1.3355,0.1263,0.249
SP2,2021-22,462,1.4183,0.1112,0.372
SP2,2022-23,462,1.2513,0.1035,0.35
SP2,2023-24,462,1.4032,0.0634,0.382
