market_hl,form_hl,rmse,r2
30,21,1.5619234879001063,0.1523449043549392
30,30,1.5619366968235364,0.1523305673420391
30,14,1.5619787784205303,0.15228489101719378
30,45,1.5619788287973555,0.15228483633630174
30,60,1.5620103862430634,0.15225058235667133
30,90,1.5620482954851527,0.15220943291468458
45,21,1.5620693471773583,0.1521865814492217
45,14,1.562074623672204,0.15218085380249868
45,30,1.5621306447246865,0.15212004163406567
45,45,1.5622246455153703,0.15201799666776905
45,60,1.562287752889672,0.15194948539609132
21,45,1.562303325142533,0.15193257926232173
21,60,1.5623065929694524,0.15192903149998782
21,30,1.5623107303937307,0.15192453963638475
21,90,1.5623144444915262,0.15192050735409834
21,21,1.5623482358961216,0.15188382062014838
60,14,1.5623571619309855,0.1518741296485232
45,90,1.5623604365594768,0.15187057437944984
60,21,1.5623765515148358,0.15185307823963512
30,7,1.5624305729987087,0.1517944253530097
21,14,1.5624634084694469,0.15175877382075842
60,30,1.562464022691796,0.1517581069138495
45,7,1.5624682496073163,0.1517535174300335
60,45,1.5625886774965068,0.1516227544911266
60,60,1.562671461361345,0.15153286031918878
60,7,1.5627273648653381,0.15147215256873348
60,90,1.5627665703875029,0.1514295764990019
90,14,1.5628436650905113,0.15134585075302776
90,21,1.5628865036068733,0.15129932583984806
90,30,1.5630006115780688,0.15117539227566412
21,7,1.5630036263752372,0.15117211775808193
90,45,1.5631582526787444,0.1510041621528646
90,7,1.5631952537369476,0.15096396901675768
90,60,1.5632630344500047,0.15089033840009536
90,90,1.563383873108688,0.1507590626826204
14,90,1.563731103169914,0.1503817852466517
14,60,1.5637539462413306,0.15035696252454434
14,45,1.5637802779451435,0.150328348384543
14,30,1.563842029975901,0.1502612417882061
14,21,1.5639398849486448,0.1501548963096252
14,14,1.564136335939855,0.1499413799202549
14,7,1.5648330836423683,0.14918389057320813
7,90,1.5708119262885902,0.1426699516982417
7,60,1.5708779782494746,0.1425978494682214
7,45,1.5709460335469012,0.1425235572276472
7,30,1.5710862185177195,0.1423705148304396
7,21,1.5712771539811488,0.14216204526113774
7,14,1.5716175970468205,0.1417902755569861
7,7,1.572688530618501,0.14062027243486397
