key,HomeTeam,date_str,lat,lon,precipitation,wind_speed,temperature
Brighton|2015-08-07,Brighton,2015-08-07,50.8618,-0.0837,0.0,13.7,16.3
Bournemouth|2015-08-08,Bournemouth,2015-08-08,50.7352,-1.8383,0.0,15.9,17.7
Chelsea|2015-08-08,Chelsea,2015-08-08,51.4816,-0.191,0.0,11.2,18.5
Everton|2015-08-08,Everton,2015-08-08,53.4388,-2.9661,0.0,15.3,15.5
Leicester|2015-08-08,Leicester,2015-08-08,52.6204,-1.1422,0.0,15.3,18.0
Man United|2015-08-08,Man United,2015-08-08,53.4631,-2.2913,0.0,17.7,16.4
Norwich|2015-08-08,Norwich,2015-08-08,52.6221,1.3093,0.0,15.8,17.2
Birmingham|2015-08-08,Birmingham,2015-08-08,52.4752,-1.7865,0.0,15.7,17.1
Blackburn|2015-08-08,Blackburn,2015-08-08,53.7286,-2.489,0.0,14.9,15.2
Bolton|2015-08-08,Bolton,2015-08-08,53.5805,-2.5357,0.0,14.3,15.1
Brentford|2015-08-08,Brentford,2015-08-08,51.4882,-0.3088,0.0,11.2,18.7
Cardiff|2015-08-08,Cardiff,2015-08-08,51.4728,-3.203,0.0,17.5,15.8
Charlton|2015-08-08,Charlton,2015-08-08,51.4865,0.0366,0.0,11.0,18.7
Hull|2015-08-08,Hull,2015-08-08,53.746,-0.3675,0.0,20.3,17.4
Leeds|2015-08-08,Leeds,2015-08-08,53.7775,-1.5724,0.0,17.7,16.4
Rotherham|2015-08-08,Rotherham,2015-08-08,53.4275,-1.3632,0.0,18.4,17.7
Sheffield Weds|2015-08-08,Sheffield Weds,2015-08-08,53.4114,-1.5007,0.0,18.2,17.4
Arsenal|2015-08-09,Arsenal,2015-08-09,51.5549,-0.1084,0.0,15.6,18.4
Newcastle|2015-08-09,Newcastle,2015-08-09,54.9756,-1.6217,0.7,21.1,16.5
Stoke|2015-08-09,Stoke,2015-08-09,52.9883,-2.1752,0.5,19.4,16.8
Preston|2015-08-09,Preston,2015-08-09,53.7729,-2.6911,0.6,18.9,16.1
West Brom|2015-08-10,West Brom,2015-08-10,52.509,-1.9642,0.9,23.5,16.8
Aston Villa|2015-08-14,Aston Villa,2015-08-14,52.5092,-1.8847,35.1,16.4,15.0
Southampton|2015-08-15,Southampton,2015-08-15,50.9058,-1.3914,0.0,15.0,15.5
Sunderland|2015-08-15,Sunderland,2015-08-15,54.9145,-1.3879,0.0,19.9,13.7
Swansea|2015-08-15,Swansea,2015-08-15,51.6428,-3.9344,0.1,17.6,13.8
Tottenham|2015-08-15,Tottenham,2015-08-15,51.6042,-0.0665,0.0,13.3,16.5
Watford|2015-08-15,Watford,2015-08-15,51.6498,-0.4017,0.0,14.5,15.9
West Ham|2015-08-15,West Ham,2015-08-15,51.5386,0.0164,0.0,13.3,16.6
Bristol City|2015-08-15,Bristol City,2015-08-15,51.44,-2.62,0.1,14.8,14.2
Burnley|2015-08-15,Burnley,2015-08-15,53.7893,-2.2297,0.3,20.6,12.4
Derby|2015-08-15,Derby,2015-08-15,52.9151,-1.4472,0.0,17.9,14.1
Fulham|2015-08-15,Fulham,2015-08-15,51.4749,-0.2217,0.0,13.6,16.5
Huddersfield|2015-08-15,Huddersfield,2015-08-15,53.6543,-1.7679,0.0,20.9,13.2
Ipswich|2015-08-15,Ipswich,2015-08-15,52.0551,1.1449,0.0,17.8,17.3
