match,market,question,prob,outcome,brier,source,tier,score
Ivory Coast vs Ecuador,Team Total,Will Ecuador score over 0.5?,0.6811,0,0.4639,sharp,,1-0
Ivory Coast vs Ecuador,Team Total,Will Ecuador score over 1.5?,0.2629,0,0.0691,poisson,,1-0
Ivory Coast vs Ecuador,Team Total,Will Ivory Coast score over 0.5?,0.5888,1,0.1691,sharp,,1-0
Ivory Coast vs Ecuador,Team Total,Will Ivory Coast score over 1.5?,0.1715,0,0.0294,poisson,,1-0
Ivory Coast vs Ecuador,Total Goals,Will total goals be over 1.5?,0.5246,0,0.2752,poisson,,1-0
Ivory Coast vs Ecuador,Total Goals,Will total goals be over 2.5?,0.2536,0,0.0643,poisson,,1-0
Ivory Coast vs Ecuador,Total Goals,Will total goals be over 3.5?,0.0994,0,0.0099,poisson,,1-0
Ivory Coast vs Ecuador,Total Goals O/E,Will the total goals be even?,0.5258,0,0.2765,poisson,,1-0
Ivory Coast vs Ecuador,Total Goals O/E,Will the total goals be odd?,0.4742,1,0.2765,poisson,,1-0
Sweden vs Tunisia,BTTS,Will NOT both teams score?,0.5358,0,0.2871,poisson,,5-1
Sweden vs Tunisia,BTTS,Will both teams score?,0.4642,1,0.2871,poisson,,5-1
Sweden vs Tunisia,Correct Score,Will the score be Sweden 0-0 Tunisia?,0.0958,0,0.0092,poisson,,5-1
Sweden vs Tunisia,Correct Score,Will the score be Sweden 0-1 Tunisia?,0.0763,0,0.0058,poisson,,5-1
Sweden vs Tunisia,Correct Score,Will the score be Sweden 1-0 Tunisia?,0.132,0,0.0174,poisson,,5-1
Sweden vs Tunisia,Correct Score,Will the score be Sweden 1-1 Tunisia?,0.127,0,0.0161,poisson,,5-1
Sweden vs Tunisia,Correct Score,Will the score be Sweden 2-0 Tunisia?,0.103,0,0.0106,poisson,,5-1
Sweden vs Tunisia,Correct Score,Will the score be Sweden 2-1 Tunisia?,0.0919,0,0.0084,poisson,,5-1
Sweden vs Tunisia,Double Chance,Sweden or Draw (1X),0.7815,1,0.0477,sharp,,5-1
Sweden vs Tunisia,Double Chance,Sweden or Tunisia (12),0.7295,1,0.0732,sharp,,5-1
Sweden vs Tunisia,Double Chance,Tunisia or Draw (X2),0.489,0,0.2391,sharp,,5-1
Sweden vs Tunisia,First To Score,Will there be no goals (0-0)?,0.0958,0,0.0092,poisson,,5-1
Sweden vs Tunisia,Handicap,Will Sweden avoid losing by 2+ (+1.5)?,0.9259,1,0.0055,poisson,,5-1
Sweden vs Tunisia,Handicap,Will Sweden win by 2+ goals?,0.264,1,0.5417,poisson,,5-1
Sweden vs Tunisia,Handicap,Will Sweden win by 3+ goals?,0.1064,1,0.7985,poisson,,5-1
Sweden vs Tunisia,Handicap,Will Tunisia avoid losing by 2+ (+1.5)?,0.736,0,0.5417,poisson,,5-1
Sweden vs Tunisia,Handicap,Will Tunisia win by 2+ goals?,0.0741,0,0.0055,poisson,,5-1
Sweden vs Tunisia,Moneyline,Will Sweden win the match?,0.511,1,0.2391,sharp,,5-1
Sweden vs Tunisia,Moneyline,Will Tunisia win the match?,0.2185,0,0.0477,sharp,,5-1
Sweden vs Tunisia,Moneyline,Will the match end in a draw?,0.2705,0,0.0732,sharp,,5-1
Sweden vs Tunisia,Team Total,Will Sweden score over 0.5?,0.7781,1,0.0492,poisson,,5-1
Sweden vs Tunisia,Team Total,Will Sweden score over 1.5?,0.444,1,0.3091,poisson,,5-1
Sweden vs Tunisia,Team Total,Will Tunisia score over 0.5?,0.5904,1,0.1678,poisson,,5-1
Sweden vs Tunisia,Team Total,Will Tunisia score over 1.5?,0.2248,0,0.0505,poisson,,5-1
Sweden vs Tunisia,Total Goals,Will total goals be over 1.5?,0.696,1,0.0924,poisson,,5-1
Sweden vs Tunisia,Total Goals,Will total goals be over 2.5?,0.4297,1,0.3252,poisson,,5-1
Sweden vs Tunisia,Total Goals,Will total goals be over 3.5?,0.2208,1,0.6072,poisson,,5-1
Sweden vs Tunisia,Total Goals O/E,Will the total goals be even?,0.5139,1,0.2363,poisson,,5-1
Sweden vs Tunisia,Total Goals O/E,Will the total goals be odd?,0.4861,0,0.2363,poisson,,5-1
Belgium vs Egypt,BTTS,Will NOT both teams score?,0.5275,0,0.2783,poisson,,1-1
Belgium vs Egypt,BTTS,Will both teams score?,0.4725,1,0.2783,poisson,,1-1
Belgium vs Egypt,Correct Score,Will the score be Belgium 0-0 Egypt?,0.0771,0,0.0059,poisson,,1-1
Belgium vs Egypt,Correct Score,Will the score be Belgium 1-0 Egypt?,0.1264,0,0.016,poisson,,1-1
Belgium vs Egypt,Correct Score,Will the score be Belgium 1-1 Egypt?,0.112,1,0.7885,poisson,,1-1
Belgium vs Egypt,Correct Score,Will the score be Belgium 2-0 Egypt?,0.1174,0,0.0138,poisson,,1-1
Belgium vs Egypt,Correct Score,Will the score be Belgium 2-1 Egypt?,0.0968,0,0.0094,poisson,,1-1
Belgium vs Egypt,Correct Score,Will the score be Belgium 3-0 Egypt?,0.0703,0,0.0049,poisson,,1-1
Belgium vs Egypt,Double Chance,Belgium or Draw (1X),0.8363,1,0.0268,sharp,,1-1
Belgium vs Egypt,Double Chance,Belgium or Egypt (12),0.7638,0,0.5834,sharp,,1-1
Spain vs Cape Verde,BTTS,Will NOT both teams score?,0.5458,1,0.2063,poisson,,0-0
Spain vs Cape Verde,BTTS,Will both teams score?,0.4542,0,0.2063,poisson,,0-0
Spain vs Cape Verde,Correct Score,Will the score be Spain 2-0 Cape Verde?,0.1004,0,0.0101,poisson,,0-0
Spain vs Cape Verde,Correct Score,Will the score be Spain 2-1 Cape Verde?,0.0633,0,0.004,poisson,,0-0
Spain vs Cape Verde,Correct Score,Will the score be Spain 3-0 Cape Verde?,0.1156,0,0.0134,poisson,,0-0
Spain vs Cape Verde,Correct Score,Will the score be Spain 3-1 Cape Verde?,0.0729,0,0.0053,poisson,,0-0
Spain vs Cape Verde,Correct Score,Will the score be Spain 4-0 Cape Verde?,0.0999,0,0.01,poisson,,0-0
Spain vs Cape Verde,Double Chance,Cape Verde or Draw (X2),0.1155,1,0.7823,sharp,,0-0
Spain vs Cape Verde,Double Chance,Spain or Cape Verde (12),0.9181,0,0.8429,sharp,,0-0
Spain vs Cape Verde,Double Chance,Spain or Draw (1X),0.9664,1,0.0011,sharp,,0-0
Spain vs Cape Verde,First To Score,Will there be no goals (0-0)?,0.03,1,0.9409,poisson,,0-0
Spain vs Cape Verde,Handicap,Will Cape Verde avoid losing by 2+ (+1.5)?,0.263,1,0.5432,poisson,,0-0
Spain vs Cape Verde,Handicap,Will Cape Verde win by 2+ goals?,0.03,0,0.0009,poisson,,0-0
Spain vs Cape Verde,Handicap,Will Spain avoid losing by 2+ (+1.5)?,0.97,1,0.0009,poisson,,0-0
Spain vs Cape Verde,Handicap,Will Spain win by 2+ goals?,0.737,0,0.5432,poisson,,0-0
Spain vs Cape Verde,Handicap,Will Spain win by 3+ goals?,0.5407,0,0.2924,poisson,,0-0
Spain vs Cape Verde,Moneyline,Will Cape Verde win the match?,0.0336,0,0.0011,sharp,,0-0
Spain vs Cape Verde,Moneyline,Will Spain win the match?,0.8845,0,0.7823,sharp,,0-0
Spain vs Cape Verde,Moneyline,Will the match end in a draw?,0.0819,1,0.8429,sharp,,0-0
Spain vs Cape Verde,Team Total,Will Cape Verde score over 0.5?,0.4675,0,0.2186,poisson,,0-0
Spain vs Cape Verde,Team Total,Will Cape Verde score over 1.5?,0.1319,0,0.0174,poisson,,0-0
Spain vs Cape Verde,Team Total,Will Spain score over 0.5?,0.9684,0,0.9378,poisson,,0-0
Spain vs Cape Verde,Team Total,Will Spain score over 1.5?,0.8593,0,0.7384,poisson,,0-0
Spain vs Cape Verde,Total Goals,Will total goals be over 1.5?,0.9159,0,0.8389,poisson,,0-0
Spain vs Cape Verde,Total Goals,Will total goals be over 2.5?,0.7741,0,0.5992,poisson,,0-0
Spain vs Cape Verde,Total Goals,Will total goals be over 3.5?,0.583,0,0.3399,poisson,,0-0
Spain vs Cape Verde,Total Goals O/E,Will the total goals be even?,0.5031,1,0.2469,poisson,,0-0
Spain vs Cape Verde,Total Goals O/E,Will the total goals be odd?,0.4969,0,0.2469,poisson,,0-0
France vs Senegal,Team Total,Will Senegal score over 1.5?,0.1727,0,0.0298,poisson,,3-1
France vs Senegal,Total Goals,Will total goals be over 1.5?,0.7534,1,0.0608,poisson,,3-1
France vs Senegal,Total Goals,Will total goals be over 2.5?,0.5038,1,0.2462,poisson,,3-1
France vs Senegal,Total Goals,Will total goals be over 3.5?,0.2836,1,0.5132,poisson,,3-1
France vs Senegal,Total Goals O/E,Will the total goals be even?,0.5102,1,0.2399,poisson,,3-1
France vs Senegal,Total Goals O/E,Will the total goals be odd?,0.4898,0,0.2399,poisson,,3-1
Iraq vs Norway,BTTS,Will NOT both teams score?,0.5161,0,0.2664,poisson,,1-4
Iraq vs Norway,BTTS,Will both teams score?,0.4839,1,0.2664,poisson,,1-4
Iraq vs Norway,Correct Score,Will the score be Iraq 0-1 Norway?,0.0804,0,0.0065,poisson,,1-4
Iraq vs Norway,Correct Score,Will the score be Iraq 0-2 Norway?,0.116,0,0.0135,poisson,,1-4
Iraq vs Norway,Correct Score,Will the score be Iraq 0-3 Norway?,0.1085,0,0.0118,poisson,,1-4
Iraq vs Norway,Correct Score,Will the score be Iraq 0-4 Norway?,0.0761,0,0.0058,poisson,,1-4
Iraq vs Norway,Correct Score,Will the score be Iraq 1-2 Norway?,0.0834,0,0.007,poisson,,1-4
Iraq vs Norway,Correct Score,Will the score be Iraq 1-3 Norway?,0.078,0,0.0061,poisson,,1-4
Iraq vs Norway,Double Chance,Iraq or Draw (1X),0.1978,0,0.0391,sharp,,1-4
Iraq vs Norway,Double Chance,Iraq or Norway (12),0.8687,1,0.0172,sharp,,1-4
Iraq vs Norway,Double Chance,Norway or Draw (X2),0.9336,1,0.0044,sharp,,1-4
Iraq vs Norway,First To Score,Will there be no goals (0-0)?,0.0319,0,0.001,poisson,,1-4
Iraq vs Norway,Handicap,Will Iraq avoid losing by 2+ (+1.5)?,0.3948,0,0.1559,poisson,,1-4
Iraq vs Norway,Handicap,Will Iraq win by 2+ goals?,0.03,0,0.0009,poisson,,1-4
Iraq vs Norway,Handicap,Will Iraq win by 3+ goals?,0.03,0,0.0009,poisson,,1-4
Iraq vs Norway,Handicap,Will Norway avoid losing by 2+ (+1.5)?,0.97,1,0.0009,poisson,,1-4
Iraq vs Norway,Handicap,Will Norway win by 2+ goals?,0.6052,1,0.1559,poisson,,1-4
Iraq vs Norway,Moneyline,Will Iraq win the match?,0.0664,0,0.0044,sharp,,1-4
Iraq vs Norway,Moneyline,Will Norway win the match?,0.8022,1,0.0391,sharp,,1-4
Iraq vs Norway,Moneyline,Will the match end in a draw?,0.1313,0,0.0172,sharp,,1-4
Iraq vs Norway,Team Total,Will Iraq score over 0.5?,0.5126,1,0.2376,poisson,,1-4
Iraq vs Norway,Team Total,Will Iraq score over 1.5?,0.1623,0,0.0263,poisson,,1-4
Iraq vs Norway,Team Total,Will Norway score over 0.5?,0.9395,1,0.0037,poisson,,1-4
Iraq vs Norway,Team Total,Will Norway score over 1.5?,0.7697,1,0.053,poisson,,1-4
Iraq vs Norway,Total Goals,Will total goals be over 1.5?,0.8689,1,0.0172,poisson,,1-4
Iraq vs Norway,Total Goals,Will total goals be over 2.5?,0.6834,1,0.1002,poisson,,1-4
Iraq vs Norway,Total Goals,Will total goals be over 3.5?,0.4683,1,0.2827,poisson,,1-4
Iraq vs Norway,Total Goals O/E,Will the total goals be even?,0.5052,0,0.2552,poisson,,1-4
Iraq vs Norway,Total Goals O/E,Will the total goals be odd?,0.4948,1,0.2552,poisson,,1-4
England vs Croatia,BTTS,Will NOT both teams score?,0.5053,0,0.2553,poisson,,4-2
England vs Croatia,BTTS,Will both teams score?,0.4947,1,0.2553,poisson,,4-2
England vs Croatia,Correct Score,Will the score be England 0-0 Croatia?,0.0771,0,0.0059,poisson,,4-2
England vs Croatia,Correct Score,Will the score be England 0-1 Croatia?,0.0616,0,0.0038,poisson,,4-2
England vs Croatia,Correct Score,Will the score be England 1-0 Croatia?,0.1197,0,0.0143,poisson,,4-2
England vs Croatia,Correct Score,Will the score be England 1-1 Croatia?,0.1178,0,0.0139,poisson,,4-2
England vs Croatia,Correct Score,Will the score be England 2-0 Croatia?,0.1063,0,0.0113,poisson,,4-2
England vs Croatia,Correct Score,Will the score be England 2-1 Croatia?,0.0969,0,0.0094,poisson,,4-2
England vs Croatia,Double Chance,Croatia or Draw (X2),0.4421,0,0.1955,sharp,,4-2
England vs Croatia,Double Chance,England or Croatia (12),0.7525,1,0.0613,sharp,,4-2
England vs Croatia,Double Chance,England or Draw (1X),0.8054,1,0.0379,sharp,,4-2
England vs Croatia,First To Score,Will there be no goals (0-0)?,0.0771,0,0.0059,poisson,,4-2
England vs Croatia,Handicap,Will Croatia avoid losing by 2+ (+1.5)?,0.6874,0,0.4725,poisson,,4-2
England vs Croatia,Handicap,Will Croatia win by 2+ goals?,0.066,0,0.0044,poisson,,4-2
England vs Croatia,Handicap,Will England avoid losing by 2+ (+1.5)?,0.934,1,0.0044,poisson,,4-2
England vs Croatia,Handicap,Will England win by 2+ goals?,0.3126,1,0.4725,poisson,,4-2
England vs Croatia,Handicap,Will England win by 3+ goals?,0.1391,0,0.0193,poisson,,4-2
England vs Croatia,Moneyline,Will Croatia win the match?,0.1946,0,0.0379,sharp,,4-2
England vs Croatia,Moneyline,Will England win the match?,0.5579,1,0.1955,sharp,,4-2
England vs Croatia,Moneyline,Will the match end in a draw?,0.2475,0,0.0613,sharp,,4-2
England vs Croatia,Team Total,Will Croatia score over 0.5?,0.5982,1,0.1614,poisson,,4-2
England vs Croatia,Team Total,Will Croatia score over 1.5?,0.2319,1,0.59,poisson,,4-2
England vs Croatia,Team Total,Will England score over 0.5?,0.8194,1,0.0326,poisson,,4-2
England vs Croatia,Team Total,Will England score over 1.5?,0.5103,1,0.2398,poisson,,4-2
England vs Croatia,Total Goals,Will total goals be over 1.5?,0.7416,1,0.0668,poisson,,4-2
England vs Croatia,Total Goals,Will total goals be over 2.5?,0.4874,1,0.2628,poisson,,4-2
England vs Croatia,Total Goals,Will total goals be over 3.5?,0.2691,1,0.5342,poisson,,4-2
England vs Croatia,Total Goals O/E,Will the total goals be even?,0.5117,1,0.2384,poisson,,4-2
England vs Croatia,Total Goals O/E,Will the total goals be odd?,0.4883,0,0.2384,poisson,,4-2
Ghana vs Panama,BTTS,Will NOT both teams score?,0.4968,1,0.2532,poisson,,1-0
Ghana vs Panama,BTTS,Will both teams score?,0.5032,0,0.2532,poisson,,1-0
Ghana vs Panama,Correct Score,Will the score be Ghana 0-0 Panama?,0.0883,0,0.0078,poisson,,1-0
Ghana vs Panama,Correct Score,Will the score be Ghana 0-1 Panama?,0.0844,0,0.0071,poisson,,1-0
Ghana vs Panama,Correct Score,Will the score be Ghana 1-0 Panama?,0.1124,1,0.7878,poisson,,1-0
Ghana vs Panama,Correct Score,Will the score be Ghana 1-1 Panama?,0.1313,0,0.0172,poisson,,1-0
Ghana vs Panama,Correct Score,Will the score be Ghana 2-0 Panama?,0.0828,0,0.0069,poisson,,1-0
Ghana vs Panama,Correct Score,Will the score be Ghana 2-1 Panama?,0.0891,0,0.0079,poisson,,1-0
Ghana vs Panama,Double Chance,Ghana or Draw (1X),0.718,1,0.0795,sharp,,1-0
