team,role,rank,player,score,key_stat
Denmark,attacker,1,Michael Krohn-Dehli,3.822,"xg90=3.358, goals90=4.286, sot90=4.286"
Denmark,attacker,2,Kasper Dolberg,0.4308,"xg90=0.336, goals90=0.0, sot90=1.314"
Denmark,attacker,3,Nicolai Jørgensen,0.4191,"xg90=0.511, goals90=0.0, sot90=0.818"
Denmark,attacker,4,Andreas Evald Cornelius,0.3716,"xg90=0.328, goals90=0.0, sot90=1.038"
Denmark,attacker,5,Lasse Schöne,0.3434,"xg90=0.364, goals90=0.0, sot90=0.807"
Denmark,defender,1,Alexander Hartmann Bah,21.176,"pos=Right Back, def_actions90=21.176, tk=4, int=0, blk=2, clr=6"
Denmark,defender,2,Mathias Jattah-Njie Jørgensen,12.857,"pos=Left Center Back, def_actions90=12.857, tk=0, int=0, blk=0, clr=1"
Denmark,defender,3,Joakim Mæhle,9.0,"pos=Left Wing Back, def_actions90=9.0, tk=11, int=3, blk=7, clr=5"
Denmark,defender,4,Simon Thorup Kjær,8.94,"pos=Right Center Back, def_actions90=8.94, tk=4, int=3, blk=10, clr=28"
Denmark,defender,5,Andreas Christensen,8.571,"pos=Left Center Back, def_actions90=8.571, tk=7, int=12, blk=12, clr=25"
Tunisia,attacker,1,Wahbi Khazri,0.8669,"xg90=0.452, goals90=0.769, sot90=2.051"
Tunisia,attacker,2,Fakhreddine Ben Youssef,0.4874,"xg90=0.51, goals90=0.332, sot90=0.664"
Tunisia,attacker,3,Youssef Msakni,0.3728,"xg90=0.332, goals90=0.0, sot90=1.034"
Tunisia,attacker,4,Ferjani Sassi,0.3685,"xg90=0.38, goals90=0.357, sot90=0.357"
Tunisia,attacker,5,Issam Jebali,0.2353,"xg90=0.281, goals90=0.0, sot90=0.474"
Tunisia,defender,1,Ali Abdi,15.652,"pos=Left Wing Back, def_actions90=15.652, tk=10, int=5, blk=3, clr=18"
Tunisia,defender,2,Nader Ghandri,13.918,"pos=Center Back, def_actions90=13.918, tk=1, int=1, blk=4, clr=9"
Tunisia,defender,3,Montassar Omar Talbi,11.916,"pos=Left Center Back, def_actions90=11.916, tk=2, int=3, blk=12, clr=21"
Tunisia,defender,4,Syam Ben Youssef,11.077,"pos=Right Center Back, def_actions90=11.077, tk=5, int=2, blk=3, clr=6"
Tunisia,defender,5,Yohan Benalouane,10.8,"pos=Right Center Back, def_actions90=10.8, tk=2, int=2, blk=1, clr=1"
Spain,attacker,1,Pablo Sarabia García,13.3135,"xg90=26.627, goals90=0.0, sot90=0.0"
Spain,attacker,2,Iago Aspas Juncal,2.0051,"xg90=1.504, goals90=1.139, sot90=4.557"
Spain,attacker,3,Rodrigo Moreno Machado,1.7674,"xg90=1.052, goals90=0.0, sot90=6.207"
Spain,attacker,4,Álvaro Borja Morata Martín,1.2626,"xg90=0.571, goals90=1.543, sot90=2.571"
Spain,attacker,5,Carlos Soler Barragán,1.2268,"xg90=1.168, goals90=0.918, sot90=1.837"
Spain,defender,1,Alejandro Balde Martínez,8.667,"pos=Left Back, def_actions90=8.667, tk=8, int=2, blk=2, clr=1"
Spain,defender,2,Rodrigo Hernández Cascante,5.721,"pos=Right Center Back, def_actions90=5.721, tk=4, int=4, blk=6, clr=12"
Spain,defender,3,José Ignacio Fernández Iglesias,5.556,"pos=Right Back, def_actions90=5.556, tk=5, int=3, blk=1, clr=1"
Spain,defender,4,Jorge Resurrección Merodio,5.169,"pos=Right Defensive Midfield, def_actions90=5.169, tk=5, int=4, blk=5, clr=3"
Spain,defender,5,César Azpilicueta Tanco,5.035,"pos=Right Back, def_actions90=5.035, tk=1, int=2, blk=4, clr=1"
Japan,attacker,1,Keisuke Honda,1.9206,"xg90=0.999, goals90=1.579, sot90=4.737"
Japan,attacker,2,Takumi Minamino,1.0658,"xg90=1.088, goals90=0.0, sot90=2.609"
Japan,attacker,3,Takuma Asano,0.9146,"xg90=0.636, goals90=0.994, sot90=1.492"
Japan,attacker,4,Ritsu Doan,0.6088,"xg90=0.236, goals90=0.818, sot90=1.227"
Japan,attacker,5,Takashi Inui,0.5164,"xg90=0.17, goals90=0.616, sot90=1.233"
Japan,defender,1,Maya Yoshida,11.472,"pos=Right Center Back, def_actions90=11.472, tk=5, int=15, blk=21, clr=56"
Japan,defender,2,Ko Itakura,9.355,"pos=Right Center Back, def_actions90=9.355, tk=8, int=4, blk=4, clr=13"
Japan,defender,3,Takehiro Tomiyasu,9.137,"pos=Right Center Back, def_actions90=9.137, tk=1, int=4, blk=8, clr=7"
Japan,defender,4,Ao Tanaka,9.107,"pos=Left Defensive Midfield, def_actions90=9.107, tk=4, int=4, blk=8, clr=1"
Japan,defender,5,Wataru Endo,8.517,"pos=Right Defensive Midfield, def_actions90=8.517, tk=5, int=4, blk=10, clr=11"
Switzerland,attacker,1,Christian Fassnacht,2.3043,"xg90=2.037, goals90=0.0, sot90=6.429"
Switzerland,attacker,2,Josip Drmic,0.5505,"xg90=0.325, goals90=0.776, sot90=0.776"
Switzerland,attacker,3,Breel-Donald Embolo,0.5447,"xg90=0.486, goals90=0.377, sot90=0.943"
Switzerland,attacker,4,Blerim Džemaili,0.4198,"xg90=0.341, goals90=0.277, sot90=0.831"
Switzerland,attacker,5,Steven Zuber,0.3054,"xg90=0.111, goals90=0.357, sot90=0.714"
Switzerland,defender,1,Silvan Widmer,11.697,"pos=Right Back, def_actions90=11.697, tk=12, int=4, blk=5, clr=15"
Switzerland,defender,2,Nico Elvedi,11.551,"pos=Left Center Back, def_actions90=11.551, tk=2, int=3, blk=4, clr=15"
Switzerland,defender,3,Michael Lang,9.908,"pos=Right Back, def_actions90=9.908, tk=1, int=3, blk=5, clr=3"
Switzerland,defender,4,Fabian Lukas Schär,9.857,"pos=Right Center Back, def_actions90=9.857, tk=8, int=8, blk=5, clr=25"
Switzerland,defender,5,Eray Ervin Cömert,8.654,"pos=Left Center Back, def_actions90=8.654, tk=0, int=4, blk=1, clr=0"
