player,team,matches,minutes,goals,xg,shots,sot,assists,key_passes,fouls_committed,fouls_won,cards,tackles,interceptions,blocks,clearances,recoveries,goals90,xg90,shots90,sot90,def_actions90,position
Kasper Dolberg,Denmark,4,137.0,0,0.512,4,2,0,1,3,2,0,1,0,1,1,5,0.0,0.336,2.628,1.314,1.971,Left Center Forward
Christian Dannemann Eriksen,Denmark,7,684.0,1,1.8055,16,5,1,15,5,4,0,1,7,15,1,38,0.132,0.238,2.105,0.658,3.158,Center Attacking Midfield
Andreas Skov Olsen,Denmark,2,131.0,0,0.3118,4,1,0,1,2,1,0,0,1,4,0,2,0.0,0.214,2.748,0.687,3.435,Right Wing
Youssef Msakni,Tunisia,2,174.0,0,0.6425,9,2,0,4,0,6,0,1,1,4,1,9,0.0,0.332,4.655,1.034,3.621,Left Wing
Rasmus Nissen Kristensen,Denmark,3,232.0,0,0.0,0,0,0,1,3,1,1,9,3,2,7,4,0.0,0.0,0.0,0.0,8.147,Right Wing Back
Yassine Meriah,Tunisia,6,552.0,0,0.0461,1,0,0,1,7,5,0,10,7,13,26,23,0.0,0.008,0.163,0.0,9.13,Left Center Back
Joakim Mæhle,Denmark,3,260.0,0,0.0423,2,0,0,1,1,4,0,11,3,7,5,11,0.0,0.015,0.692,0.0,9.0,Left Wing Back
Ali Abdi,Tunisia,3,207.0,0,0.0,0,0,0,1,5,0,1,10,5,3,18,14,0.0,0.0,0.0,0.0,15.652,Left Wing Back
Anis Ben Slimane,Tunisia,2,148.0,0,0.1008,1,1,0,2,1,1,0,3,1,4,2,8,0.0,0.061,0.608,0.608,6.081,Right Attacking Midfield
Mohamed Dräger,Tunisia,2,136.0,0,0.3036,4,0,0,1,3,2,0,3,3,3,2,4,0.0,0.201,2.647,0.0,7.279,Right Wing Back
Pierre-Emile Højbjerg,Denmark,3,273.0,0,0.0239,2,1,0,1,0,1,0,8,2,6,6,19,0.0,0.008,0.659,0.33,7.253,Right Defensive Midfield
Aïssa Bilal Laïdouni,Tunisia,3,249.0,0,0.081,2,0,1,4,5,7,1,8,6,8,7,23,0.0,0.029,0.723,0.0,10.482,Left Defensive Midfield
Aymen Dahmen,Tunisia,3,289.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,Goalkeeper
Andreas Christensen,Denmark,7,588.0,1,0.5252,2,1,0,0,4,4,1,7,12,12,25,23,0.153,0.08,0.306,0.153,8.571,Left Center Back
