referee,country,cards_per_game,yellows_per_game,reds_per_game,fouls_per_game,pens_per_game,n_matches,source
Omar Al Ali,United Arab Emirates,,,,,,,NOT FOUND (worldfootball.net)
Abdulrahman Al-Jassim,Qatar,3.989,3.773,0.2158,,,278,worldfootball.net https://www.worldfootball.net/referee_summary/abdulrahman-al-jassim/
Khalid Al-Turais,Saudi Arabia,3.631,3.475,0.1557,,,122,worldfootball.net https://www.worldfootball.net/referee_summary/khalid-al-turais/
Alireza Faghani,Australia,3.857,3.743,0.1143,,,280,worldfootball.net https://www.worldfootball.net/referee_summary/alireza-faghani/
Ma Ning,China,4.427,4.136,0.2908,,,337,worldfootball.net https://www.worldfootball.net/referee_summary/ning-ma/
Adham Makhadmeh,Jordan,3.636,3.496,0.1405,,,121,worldfootball.net https://www.worldfootball.net/referee_summary/adham-makhadmeh/
Ilgiz Tantashev,Uzbekistan,3.494,3.271,0.2235,,,85,worldfootball.net https://www.worldfootball.net/referee_summary/ilgiz-tantashev/
Yusuke Araki,Japan,2.662,2.542,0.12,,,275,worldfootball.net https://www.worldfootball.net/referee_summary/yusuke-araki/
Omar Abdulkadir Artan,Somalia,,,,,,,NOT FOUND (worldfootball.net)
Pierre Atcho,Gabon,3.745,3.638,0.1064,,,47,worldfootball.net https://www.worldfootball.net/referee_summary/pierre-atcho/
Dahane Beida,Mauritania,3.75,3.625,0.125,,,56,worldfootball.net https://www.worldfootball.net/referee_summary/dahane-beida/
Mustapha Ghorbal,Algeria,4.331,4.041,0.2907,,,172,worldfootball.net https://www.worldfootball.net/referee_summary/mustapha-ghorbal/
Jalal Jayed,Morocco,3.295,3.091,0.2045,,,44,worldfootball.net https://www.worldfootball.net/referee_summary/jalal-jayed/
Amin Mohamed Omar,Egypt,,,,,,,NOT FOUND (worldfootball.net)
Abongile Tom,South Africa,4.073,3.854,0.2195,,,164,worldfootball.net https://www.worldfootball.net/referee_summary/abongile-tom/
Ivan Barton,El Salvador,5.235,4.786,0.4486,,,243,worldfootball.net https://www.worldfootball.net/referee_summary/ivan-barton/
Juan Gabriel Calderon,Costa Rica,,,,,,,NOT FOUND (worldfootball.net)
Ismail Elfath,United States,3.79,3.541,0.2484,,,314,worldfootball.net https://www.worldfootball.net/referee_summary/ismail-elfath/
Oshane Nation,Jamaica,3.786,3.686,0.1,,,70,worldfootball.net https://www.worldfootball.net/referee_summary/oshane-nation/
Drew Fischer,Canada,3.44,3.272,0.1683,,,309,worldfootball.net https://www.worldfootball.net/referee_summary/drew-fischer/
Katia Itzel Garcia,Mexico,,,,,,,NOT FOUND (worldfootball.net)
Said Martinez,Honduras,4.777,4.446,0.3317,,,202,worldfootball.net https://www.worldfootball.net/referee_summary/said-martinez/
Tori Penso,United States,3.231,3.146,0.0846,,,130,worldfootball.net https://www.worldfootball.net/referee_summary/tori-penso/
