team,n_matches,goals_for,goals_against,shots_for,shots_against,sot_for,sot_against,corners_for,corners_against,offsides_for,offsides_against,fouls_for,fouls_against,cards_for,cards_against,pens_for,pens_against
Albania,3,1.175,1.508,11.083,14.75,4.167,4.5,3.4,4.9,1.9,1.567,10.917,12.583,2.167,1.667,0.05,0.05
Algeria,3,1.175,1.342,13.583,10.917,4.167,3.833,6.4,3.733,2.067,1.4,12.583,15.25,2.5,2.5,0.05,0.383
Angola,5,1.631,1.006,11.062,13.688,3.75,3.75,5.175,5.925,1.675,1.925,14.938,13.562,1.875,2.125,0.163,0.038
Argentina,17,2.302,1.453,14.525,9.525,6.05,3.25,5.42,3.07,2.27,1.22,14.225,17.675,2.1,2.8,1.065,0.915
Australia,7,1.005,1.505,9.45,12.55,2.9,4.3,3.64,4.54,0.94,1.74,13.25,10.85,1.9,1.5,0.23,0.13
Austria,8,1.459,1.368,12.5,12.045,4.364,3.182,5.127,3.582,1.4,1.309,14.773,12.591,2.182,1.727,0.118,0.118
Belgium,19,1.457,0.775,12.659,14.159,4.409,3.818,4.882,4.064,1.382,1.745,13.295,12.477,1.5,1.682,0.105,0.059
Bolivia,3,0.842,2.342,8.583,14.25,3.167,5.833,3.4,4.4,1.733,1.567,16.083,11.25,2.167,1.333,0.05,0.05
Brazil,14,1.709,1.179,17.147,9.676,6.765,3.0,6.729,3.906,1.553,1.553,12.794,16.794,1.647,2.353,0.665,0.547
Burkina Faso,4,1.15,1.436,11.5,11.214,3.857,4.286,3.771,3.486,2.057,1.343,14.5,13.5,2.571,2.0,0.471,0.043
Cameroon,7,1.305,1.605,9.95,11.15,3.4,4.4,4.64,5.74,0.84,2.24,12.65,14.35,2.1,2.1,0.03,0.03
Canada,9,1.421,2.087,11.958,12.292,3.75,5.167,4.283,4.45,1.533,1.783,13.292,12.875,2.583,1.667,1.025,0.858
Cape Verde,5,1.631,1.131,14.312,13.938,4.375,3.875,5.675,4.425,2.05,1.675,14.062,13.312,1.625,1.5,0.787,0.537
Chile,3,0.675,0.842,9.417,12.083,3.333,4.5,3.567,5.733,1.567,1.733,12.583,13.75,2.167,2.0,0.05,0.05
Colombia,10,1.927,1.081,12.269,11.346,4.154,3.462,4.108,4.338,1.723,1.646,15.423,14.885,2.231,1.923,0.638,0.562
Costa Rica,9,0.921,2.004,6.875,16.542,2.417,5.167,2.367,6.45,2.367,2.033,13.625,13.292,1.917,1.75,0.108,0.192
Croatia,21,2.085,1.752,13.729,13.062,4.875,4.875,4.183,4.683,1.6,1.725,15.396,14.438,1.75,1.667,0.929,0.929
Czech Republic,8,1.186,1.186,12.227,11.773,4.455,3.727,5.127,6.218,1.582,1.764,13.045,10.136,2.455,2.455,0.118,0.118
DR Congo,7,2.305,2.205,14.25,10.65,4.7,4.2,4.44,3.24,1.04,1.04,13.95,12.75,1.4,1.6,1.83,1.83
Denmark,17,1.203,1.153,12.925,12.375,4.7,4.4,5.97,4.12,1.32,1.72,13.525,10.775,1.5,1.45,0.315,0.565
Ecuador,7,1.505,1.505,11.85,10.85,3.9,3.5,4.24,4.34,1.94,1.94,14.25,14.65,1.6,2.4,0.73,0.63
Egypt,7,2.005,2.505,14.55,12.25,4.6,4.4,3.94,4.64,1.44,1.34,13.15,12.05,1.7,1.6,1.23,1.13
England,26,2.036,1.14,12.052,10.879,4.379,3.379,4.531,3.255,1.703,1.324,11.19,15.948,1.207,2.172,0.769,0.562
Equatorial Guinea,4,1.864,1.15,9.357,13.929,3.714,4.0,3.2,5.2,1.057,1.914,13.786,13.929,2.0,1.429,0.186,0.043
Finland,3,0.842,1.175,8.917,14.583,2.5,4.667,2.567,5.4,1.4,1.567,11.583,11.417,1.667,1.5,0.05,0.217
France,24,2.076,1.446,14.315,10.5,4.815,3.704,4.533,3.978,1.348,1.089,12.87,14.907,1.519,2.111,0.789,0.826
Gambia,3,1.008,1.842,11.417,12.917,3.5,4.333,5.067,5.4,1.733,1.4,13.583,12.583,2.167,1.667,0.05,0.05
Georgia,4,1.293,1.721,9.214,20.071,2.857,6.857,4.057,7.771,0.914,1.771,10.929,12.071,1.857,2.429,0.329,0.043
Germany,15,1.614,1.336,17.806,8.972,5.944,3.389,6.189,3.522,2.411,2.078,12.194,12.861,1.833,2.111,0.183,0.017
Ghana,6,1.561,1.894,9.389,13.167,3.333,4.778,4.044,5.044,1.378,1.822,17.278,12.722,2.556,2.444,0.367,0.256
Guinea,5,1.006,1.256,9.688,10.562,3.375,2.375,3.425,4.425,1.175,1.175,14.438,13.688,1.875,1.75,0.163,0.287
Guinea-Bissau,3,1.008,1.842,11.417,10.583,3.833,3.667,4.4,4.067,1.567,2.233,12.583,13.583,1.167,2.167,0.05,0.05
