team,n_matches,goals_for,goals_against,shots_for,shots_against,sot_for,sot_against,corners_for,corners_against,offsides_for,offsides_against,fouls_for,fouls_against,cards_for,cards_against,pens_for,pens_against
Algeria,20,2.089,0.698,11.5,11.5,4.0,4.0,4.8,4.8,1.8,1.8,11.5,11.5,2.0,2.0,0.1,0.1
Austria,20,2.133,0.828,11.5,11.5,4.0,4.0,4.8,4.8,1.8,1.8,11.5,11.5,2.0,2.0,0.1,0.1
Bosnia & Herzegovina,17,1.437,1.48,11.425,14.325,3.85,4.6,3.62,5.32,1.52,1.62,14.525,12.075,2.55,2.0,0.1,0.1
Cape Verde,20,1.35,1.002,11.5,11.5,4.0,4.0,4.8,4.8,1.8,1.8,11.5,11.5,2.0,2.0,0.1,0.1
Curaçao,10,1.915,1.089,13.346,11.577,5.308,3.846,5.108,3.954,2.415,1.8,14.808,13.346,1.769,2.077,0.1,0.1
Czech Republic,18,1.915,1.176,15.071,10.929,5.81,3.762,6.305,4.162,1.543,1.019,14.643,10.833,2.333,2.714,0.1,0.1
DR Congo,20,1.35,0.741,11.5,11.5,4.0,4.0,4.8,4.8,1.8,1.8,11.5,11.5,2.0,2.0,0.1,0.1
Haiti,20,2.133,1.176,11.5,11.5,4.0,4.0,4.8,4.8,1.8,1.8,11.5,11.5,2.0,2.0,0.1,0.1
Iraq,20,1.046,1.133,11.5,11.5,4.0,4.0,4.8,4.8,1.8,1.8,11.5,11.5,2.0,2.0,0.1,0.1
Ivory Coast,20,1.741,0.611,11.5,11.5,4.0,4.0,4.8,4.8,1.8,1.8,11.5,11.5,2.0,2.0,0.1,0.1
Jordan,20,1.48,1.48,11.5,11.5,4.0,4.0,4.8,4.8,1.8,1.8,11.5,11.5,2.0,2.0,0.1,0.1
New Zealand,20,2.046,1.263,11.5,11.5,4.0,4.0,4.8,4.8,1.8,1.8,11.5,11.5,2.0,2.0,0.1,0.1
Norway,20,2.741,0.915,11.5,11.5,4.0,4.0,4.8,4.8,1.8,1.8,11.5,11.5,2.0,2.0,0.1,0.1
Paraguay,12,1.263,0.959,10.3,9.567,2.733,3.467,3.693,3.893,1.56,1.693,12.9,10.233,2.733,2.0,0.1,0.1
Scotland,18,1.654,1.22,9.833,15.071,3.571,4.476,3.971,5.781,1.495,2.162,11.31,12.881,1.762,2.667,0.1,0.1
South Africa,20,1.437,0.828,11.5,11.5,4.0,4.0,4.8,4.8,1.8,1.8,11.5,11.5,2.0,2.0,0.1,0.1
Turkey,20,2.002,1.133,11.5,11.5,4.0,4.0,4.8,4.8,1.8,1.8,11.5,11.5,2.0,2.0,0.1,0.1
Uzbekistan,20,1.263,0.872,11.5,11.5,4.0,4.0,4.8,4.8,1.8,1.8,11.5,11.5,2.0,2.0,0.1,0.1
