venue,city,lat,lon,elevation_m
Estadio Akron,Guadalajara,20.6817,-103.4628,1675.0
BMO Field,Toronto,43.6332,-79.4185,83.0
SoFi Stadium,Los Angeles (Inglewood),33.9535,-118.3392,40.0
Levi's Stadium,San Francisco Bay Area,37.403,-121.97,3.0
MetLife Stadium,New York/New Jersey,40.8136,-74.0744,4.0
Gillette Stadium,Boston (Foxborough),42.0909,-71.2643,89.0
BC Place,Vancouver,49.2768,-123.1119,18.0
NRG Stadium,Houston,29.6847,-95.4107,13.0
AT&T Stadium,Dallas (Arlington),32.7473,-97.0945,176.0
Lincoln Financial Field,Philadelphia,39.9008,-75.1675,0.0
Estadio BBVA,Monterrey,25.6694,-100.2444,494.0
Mercedes-Benz Stadium,Atlanta,33.7554,-84.4008,307.0
Lumen Field,Seattle,47.5952,-122.3316,11.0
Hard Rock Stadium,Miami (Miami Gardens),25.958,-80.2389,5.0
Arrowhead Stadium,Kansas City,39.0489,-94.4839,259.0
Estadio Azteca,Mexico City,19.303,-99.1505,2245.0
