team,elo,set1_winner_fair,set2_advance_fair,set3_goals_fair,p_champion,p_advance_group,p_reach_r16,p_reach_qf,p_reach_sf,p_reach_final,set2_sd,goals_sd,goals_p10,goals_p50,goals_p90
Spain,1926.6,21.391,21.897,15.092,0.2139,0.9926,0.735,0.5724,0.445,0.31,23.936,5.89,8,15,23
Morocco,1897.2,12.605,15.345,9.352,0.1261,0.8556,0.6249,0.4673,0.3236,0.2016,20.706,5.593,2,9,17
Argentina,1871.8,10.706,14.948,11.612,0.1071,0.9728,0.6663,0.4793,0.3231,0.1936,19.412,5.456,5,11,19
England,1853.8,7.357,11.811,11.566,0.0736,0.9611,0.6508,0.4029,0.2399,0.1391,17.013,5.13,5,11,19
France,1847.0,6.774,11.62,10.701,0.0677,0.9715,0.6637,0.4202,0.2407,0.1284,16.454,4.947,5,10,18
Japan,1844.3,4.869,8.564,7.304,0.0487,0.7901,0.4685,0.3028,0.1743,0.0951,14.85,4.779,2,6,14
Brazil,1810.7,3.728,8.825,11.294,0.0373,0.9814,0.5983,0.3373,0.1754,0.0846,13.313,4.639,6,11,18
Portugal,1800.0,3.358,8.462,10.124,0.0336,0.9641,0.6253,0.3301,0.1641,0.0778,12.777,4.586,5,10,16
Algeria,1823.0,3.028,6.294,5.857,0.0303,0.6819,0.3685,0.2305,0.1256,0.0646,12.486,4.408,1,5,12
Germany,1788.8,2.443,7.447,11.587,0.0244,0.985,0.6103,0.2891,0.136,0.0586,11.295,4.492,6,11,18
Colombia,1785.7,2.267,6.862,8.005,0.0227,0.9136,0.5547,0.2573,0.1262,0.0566,11.097,4.26,3,7,14
Senegal,1800.4,2.2,5.911,6.561,0.022,0.7346,0.4325,0.2351,0.11,0.0514,11.038,4.266,2,6,13
Mexico,1788.9,2.191,6.81,8.159,0.0219,0.9052,0.5548,0.2663,0.1237,0.0543,10.957,4.2,3,8,14
Iran,1800.3,1.959,5.152,5.368,0.0196,0.6218,0.3769,0.197,0.0992,0.0464,10.627,4.161,1,4,11
Norway,1780.5,1.882,6.242,8.096,0.0188,0.8912,0.494,0.2479,0.1109,0.0477,10.357,4.183,3,8,14
Netherlands,1777.8,1.721,5.929,7.96,0.0172,0.9069,0.4255,0.2342,0.1065,0.0434,10.034,4.116,3,7,14
Ivory Coast,1778.3,1.594,5.524,7.009,0.0159,0.8223,0.4503,0.2142,0.095,0.041,9.746,4.051,2,6,13
Belgium,1762.1,1.552,6.392,9.432,0.0155,0.9611,0.5515,0.2842,0.1054,0.0423,9.601,4.162,5,9,15
Turkey,1767.3,1.337,5.288,6.785,0.0134,0.8128,0.4557,0.2159,0.0878,0.0362,9.164,4.025,2,6,12
Switzerland,1752.8,1.115,5.602,8.6,0.0111,0.9448,0.5084,0.2272,0.0892,0.0335,8.586,3.922,4,8,14
Ecuador,1753.4,0.993,4.939,7.326,0.0099,0.8835,0.4427,0.1882,0.0759,0.0285,8.16,3.826,3,7,12
South Korea,1756.1,0.934,4.452,5.863,0.0093,0.7424,0.4145,0.1758,0.0709,0.0264,8.063,3.771,2,5,11
Australia,1772.4,0.769,2.879,4.201,0.0077,0.4448,0.2367,0.1119,0.0495,0.0201,7.379,3.502,1,3,9
Egypt,1740.7,0.745,4.102,5.759,0.0074,0.7403,0.3826,0.1599,0.0623,0.0224,7.435,3.689,2,5,11
Canada,1728.4,0.615,4.501,6.97,0.0062,0.886,0.446,0.1753,0.0616,0.0203,6.943,3.606,3,7,12
Croatia,1724.2,0.489,3.756,6.075,0.0049,0.8425,0.3553,0.1219,0.0466,0.016,6.258,3.406,2,6,10
Austria,1701.8,0.298,3.378,5.915,0.003,0.8445,0.2817,0.1149,0.0393,0.0117,5.416,3.314,2,5,10
Uruguay,1696.2,0.271,3.429,6.45,0.0027,0.8923,0.2754,0.1113,0.0391,0.0113,5.261,3.281,3,6,11
DR Congo,1702.6,0.145,1.647,3.498,0.0015,0.4058,0.1588,0.0529,0.0178,0.0055,4.079,2.741,1,3,7
Uzbekistan,1713.9,0.137,1.328,3.228,0.0014,0.3089,0.127,0.044,0.0157,0.0051,3.927,2.643,1,3,7
Panama,1705.4,0.126,1.406,3.688,0.0013,0.3518,0.1297,0.0448,0.0152,0.0047,3.823,2.699,1,3,7
USA,1665.5,0.118,3.016,6.188,0.0012,0.8243,0.3178,0.097,0.0228,0.0056,4.04,3.237,2,6,10
Scotland,1656.7,0.061,2.268,4.972,0.0006,0.6734,0.2106,0.0674,0.0163,0.0034,3.462,2.935,2,5,9
Paraguay,1651.8,0.059,2.126,4.169,0.0006,0.6381,0.2136,0.0571,0.0135,0.003,3.286,2.775,1,4,8
Tunisia,1663.6,0.042,1.214,3.038,0.0004,0.3617,0.1114,0.0349,0.0086,0.002,2.834,2.37,1,3,6
Czech Republic,1633.7,0.031,2.332,4.825,0.0003,0.7254,0.2525,0.0565,0.0115,0.002,2.925,2.82,1,5,9
Jordan,1679.8,0.03,0.643,2.684,0.0003,0.1802,0.0562,0.0208,0.0056,0.0015,2.34,2.111,1,2,5
Iraq,1663.0,0.015,0.4,2.128,0.0001,0.1145,0.0392,0.0127,0.0028,0.0006,1.748,1.821,0,2,4
