match,market,question,prob,pct,source,note,commence,match_id
Panama vs Croatia,Moneyline,Will Panama win the match?,0.1207,12.1,fundamentals,lbenz bvp + crowd + momentum,2026-06-23T23:00:00Z,c1bc8c26480cd42b89a0de5329581314
Panama vs Croatia,Moneyline,Will Croatia win the match?,0.6887,68.9,fundamentals,lbenz bvp + crowd + momentum,2026-06-23T23:00:00Z,c1bc8c26480cd42b89a0de5329581314
Panama vs Croatia,Moneyline,Will the match end in a draw?,0.1906,19.1,fundamentals,lbenz bvp + crowd + momentum,2026-06-23T23:00:00Z,c1bc8c26480cd42b89a0de5329581314
Panama vs Croatia,Total Goals,Will total goals be over 2.5?,0.5452,54.5,fundamentals,lbenz bvp + crowd + momentum,2026-06-23T23:00:00Z,c1bc8c26480cd42b89a0de5329581314
Panama vs Croatia,BTTS,Will both teams score?,0.464,46.4,fundamentals,lbenz bvp + crowd + momentum,2026-06-23T23:00:00Z,c1bc8c26480cd42b89a0de5329581314
Colombia vs DR Congo,Moneyline,Will Colombia win the match?,0.6681,66.8,fundamentals,lbenz bvp + crowd + momentum,2026-06-24T02:00:00Z,68bfc965eb267508e04d8e8d75c1a0ae
Colombia vs DR Congo,Moneyline,Will DR Congo win the match?,0.1126,11.3,fundamentals,lbenz bvp + crowd + momentum,2026-06-24T02:00:00Z,68bfc965eb267508e04d8e8d75c1a0ae
Colombia vs DR Congo,Moneyline,Will the match end in a draw?,0.2193,21.9,fundamentals,lbenz bvp + crowd + momentum,2026-06-24T02:00:00Z,68bfc965eb267508e04d8e8d75c1a0ae
Colombia vs DR Congo,Total Goals,Will total goals be over 2.5?,0.4177,41.8,fundamentals,lbenz bvp + crowd + momentum,2026-06-24T02:00:00Z,68bfc965eb267508e04d8e8d75c1a0ae
Colombia vs DR Congo,BTTS,Will both teams score?,0.3613,36.1,fundamentals,lbenz bvp + crowd + momentum,2026-06-24T02:00:00Z,68bfc965eb267508e04d8e8d75c1a0ae
Bosnia & Herzegovina vs Qatar,Moneyline,Will Bosnia & Herzegovina win the match?,0.4782,47.8,fundamentals,lbenz bvp + crowd + momentum,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2
Bosnia & Herzegovina vs Qatar,Moneyline,Will Qatar win the match?,0.2764,27.6,fundamentals,lbenz bvp + crowd + momentum,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2
Bosnia & Herzegovina vs Qatar,Moneyline,Will the match end in a draw?,0.2454,24.5,fundamentals,lbenz bvp + crowd + momentum,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2
