match,commence,match_id,pH,pD,pA,total_line,p_over,lam_h,lam_a,n_questions
Panama vs Croatia,2026-06-23T23:00:00Z,c1bc8c26480cd42b89a0de5329581314,0.031360507840126964,0.15675078918769728,0.8118887029721757,,,0.24,2.087,64
Colombia vs DR Congo,2026-06-24T02:00:00Z,68bfc965eb267508e04d8e8d75c1a0ae,0.626699837658915,0.23845164554827014,0.13484851679281482,,,1.733,0.667,64
Bosnia & Herzegovina vs Qatar,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.6720453470809061,0.1880674846038543,0.13988716831523954,,,2.331,0.98,64
Switzerland vs Canada,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.4050890488098193,0.30931719701452653,0.2855937541756543,,,1.156,0.923,64
Scotland vs Brazil,2026-06-24T22:00:00Z,885ba95805db310a7bcc3fb1a7a6dd28,0.13316127035922248,0.17820473149736984,0.6886339981434078,,,1.007,2.458,64
Morocco vs Haiti,2026-06-24T22:00:00Z,d1279ce7f33136a33e99ad442fc855e8,0.8040858018386109,0.1372829417773238,0.05863125638406537,,,2.602,0.582,64
Czech Republic vs Mexico,2026-06-25T01:00:00Z,5993bd5196ca09f83990f0c3261e442e,0.26611068991660347,0.23851402577710387,0.4953752843062927,,,1.278,1.812,64
South Africa vs South Korea,2026-06-25T01:00:00Z,c0355dfc6e26ec327e379b6ef5824a5f,0.18289182858839445,0.2433939233992017,0.573714248012404,,,0.88,1.744,64
Curaçao vs Ivory Coast,2026-06-25T20:00:00Z,a5a0b544a984ab16e564264f3e859b43,0.05694560719160246,0.1195713948985289,0.8234829979098687,,,0.687,2.928,64
Ecuador vs Germany,2026-06-25T20:00:00Z,0ec28b84ec399bd4dffbe8d1bc72b3c4,0.2635281511332665,0.22893615038784965,0.5075356984788837,,,1.349,1.934,64
Japan vs Sweden,2026-06-25T23:00:00Z,0ed0233bddc4eafc8507f86a9c17b998,0.505064578325982,0.27977338157998993,0.21516204009402817,,,1.432,0.839,64
Tunisia vs Netherlands,2026-06-25T23:00:00Z,f3c4657daa143a0c5bd62cb370d01ce4,0.04838113686143102,0.11201347034860239,0.8396053927899667,,,0.622,2.961,64
Paraguay vs Australia,2026-06-26T02:00:00Z,22f6ac06dfcc88a847920f62633e6459,0.3224189626624103,0.4429494159941525,0.2346316213434372,,,0.628,0.493,64
Turkey vs USA,2026-06-26T02:00:00Z,f41aeac9a8343a84b4950f15ea25fba2,0.27287552831496403,0.23201011103108052,0.49511436065395537,,,1.361,1.89,64
Norway vs France,2026-06-26T19:00:00Z,b86b4d60f773e9e3c46c00e9a6496e79,0.18261013398026135,0.22192203782323425,0.5954678281965043,,,1.007,1.979,64
Senegal vs Iraq,2026-06-26T19:00:00Z,7e6aee294ea1a4792c59558791084528,0.7820119504812663,0.14092386699957826,0.07706418251915548,,,2.732,0.771,64
Cape Verde vs Saudi Arabia,2026-06-27T00:00:00Z,e07b1926be5a4d515c7eb108dbcee9c5,0.38994317364128217,0.2824515070070284,0.32760531935168946,,,1.293,1.163,64
Uruguay vs Spain,2026-06-27T00:00:00Z,dcff2e31c0bce001a4db5caaf4fa8822,0.1319491214758864,0.23364649314998423,0.6344043853741294,,,0.671,1.771,64
New Zealand vs Belgium,2026-06-27T03:00:00Z,581691da05dcd75b5c6d3be91ee9d2ab,0.0660379906964395,0.13262706337365596,0.8013349459299045,,,0.703,2.774,64
Egypt vs Iran,2026-06-27T03:00:00Z,3e3b5fa2b3c963e74cf044c60db0b573,0.38532283805350426,0.36747004246801374,0.24720711947848195,,,0.889,0.651,64
Croatia vs Ghana,2026-06-27T21:00:00Z,537c0997cd899394f47f16545b7068b2,0.5477551954977374,0.2847656979651846,0.167479106537078,,,1.4,0.647,64
Panama vs England,2026-06-27T21:00:00Z,4be17c8e1ccfecb0f2a5ef79e045c415,0.07615634613362832,0.13038565440574848,0.7934579994606232,,,0.853,2.942,64
Colombia vs Portugal,2026-06-27T23:30:00Z,67ae5751c401a98409b8566ae4897069,0.24647745281659703,0.2566344907073908,0.4968880564760121,,,1.073,1.623,64
DR Congo vs Uzbekistan,2026-06-27T23:30:00Z,13eab94a136b9c264ba974cf437a5f71,0.5079365637898455,0.24149955487682578,0.25056388133332863,,,1.782,1.191,64
Algeria vs Austria,2026-06-28T02:00:00Z,8756200e539155e571557c4f2e0d7f05,0.23830459493305076,0.437634139292939,0.3240612657740102,,,0.507,0.64,64
Jordan vs Argentina,2026-06-28T02:00:00Z,54697f453437ab26276d773be1d72e9b,0.06842571942929307,0.1277158287879195,0.8038584517827875,,,0.775,2.906,64
