match,market,question,prob,pct,source,note,commence,match_id,weather_adj,home_adv,referee,ref_card_factor,value,tier
Bosnia & Herzegovina vs Qatar,1st Half,Will Bosnia & Herzegovina lead at half-time?,0.5783,57.8,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.06,SKIP
Bosnia & Herzegovina vs Qatar,1st Half,Will Qatar lead at half-time?,0.0348,3.5,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.356,MEDIUM
Bosnia & Herzegovina vs Qatar,1st Half,Will it be level at half-time?,0.3869,38.7,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.087,SKIP
Bosnia & Herzegovina vs Qatar,1st Half,Will there be over 0.5 goals in the 1st half?,0.6463,64.6,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.112,SKIP
Bosnia & Herzegovina vs Qatar,1st Half,Will there be over 1.5 goals in the 1st half?,0.2813,28.1,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.167,MEDIUM
Bosnia & Herzegovina vs Qatar,2nd Half,Will there be over 1.5 goals in the 2nd half?,0.3657,36.6,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.103,SKIP
Bosnia & Herzegovina vs Qatar,BTTS,Will NOT both teams score?,0.8334,83.3,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.15,MEDIUM
Bosnia & Herzegovina vs Qatar,BTTS,Will both teams score?,0.1666,16.7,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.15,MEDIUM
Bosnia & Herzegovina vs Qatar,Cards,Will Bosnia & Herzegovina receive more cards than Qatar?,0.4747,47.5,teamstat,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.025,SKIP
Bosnia & Herzegovina vs Qatar,Cards,Will there be over 2.5 total cards?,0.8494,84.9,teamstat,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.349,MEDIUM
