date,home_team,away_team,referee
2026-06-12,South Korea,Czech Republic,Amin Omar
2026-06-12,Canada,Bosnia & Herzegovina,Khalid Al-Turais
2026-06-13,USA,Paraguay,Danny Makkelie
2026-06-13,Qatar,Switzerland,Saíd Martínez
2026-06-13,Brazil,Morocco,Slavko Vincic
2026-06-14,Haiti,Scotland,Jalal Jayed
2026-06-14,Australia,Turkey,Kevin Ortega
2026-06-14,Germany,Curaçao,Jalal Jayed
2026-06-14,Netherlands,Japan,Ismail Elfath
2026-06-14,Ivory Coast,Ecuador,Francois Letexier
2026-06-15,Sweden,Tunisia,Yael Falcon Perez
2026-06-15,Spain,Cape Verde,Adham Makhadmeh
2026-06-15,Belgium,Egypt,Ramon Abatti
2026-06-15,Saudi Arabia,Uruguay,Maurizio Mariani
2026-06-16,Iran,New Zealand,Cesar Arturo Ramos
2026-06-16,France,Senegal,Alireza Faghani
2026-06-16,Iraq,Norway,Pierre Atcho
2026-06-17,Argentina,Algeria,Szymon Marciniak
2026-06-17,Austria,Jordan,Dahane Beida
2026-06-17,Portugal,DR Congo,Abdulrahman Al-Jassim
2026-06-17,England,Croatia,
2026-06-17,Ghana,Panama,
2026-06-18,Uzbekistan,Colombia,
2026-06-18,Czech Republic,South Africa,
2026-06-18,Switzerland,Bosnia & Herzegovina,
2026-06-18,Canada,Qatar,
2026-06-19,Mexico,South Korea,
2026-06-19,USA,Australia,
2026-06-19,Scotland,Morocco,
2026-06-20,Brazil,Haiti,
2026-06-20,Turkey,Paraguay,
2026-06-20,Netherlands,Sweden,
2026-06-20,Germany,Ivory Coast,
2026-06-21,Ecuador,Curaçao,
2026-06-21,Tunisia,Japan,
2026-06-21,Spain,Saudi Arabia,
2026-06-21,Belgium,Iran,
2026-06-21,Uruguay,Cape Verde,
2026-06-22,New Zealand,Egypt,
2026-06-22,Argentina,Austria,
2026-06-22,France,Iraq,
2026-06-23,Norway,Senegal,
2026-06-23,Jordan,Algeria,
2026-06-23,Portugal,Uzbekistan,
2026-06-23,England,Ghana,
2026-06-23,Panama,Croatia,
2026-06-24,Colombia,DR Congo,
2026-06-24,Bosnia & Herzegovina,Qatar,
2026-06-24,Switzerland,Canada,
2026-06-24,Scotland,Brazil,
2026-06-24,Morocco,Haiti,
2026-06-25,Czech Republic,Mexico,
2026-06-25,South Africa,South Korea,
2026-06-25,Curaçao,Ivory Coast,
2026-06-25,Ecuador,Germany,
2026-06-25,Japan,Sweden,
2026-06-25,Tunisia,Netherlands,
2026-06-26,Paraguay,Australia,
2026-06-26,Turkey,USA,
2026-06-26,Norway,France,
2026-06-26,Senegal,Iraq,
2026-06-27,Cape Verde,Saudi Arabia,
2026-06-27,Uruguay,Spain,
2026-06-27,New Zealand,Belgium,
2026-06-27,Egypt,Iran,
2026-06-27,Croatia,Ghana,
2026-06-27,Panama,England,
2026-06-27,Colombia,Portugal,
2026-06-27,DR Congo,Uzbekistan,
2026-06-28,Algeria,Austria,
2026-06-28,Jordan,Argentina,
