match_date,team,opponent,days_rest,is_back_to_back,prev_city,city,travel_km
2026-06-30,1A,3C/E/F/H/I,,False,,Mexico City,
2026-07-02,1B,3E/F/G/I/J,,False,,Vancouver,
2026-06-29,1C,2F,,False,,Houston,
2026-07-01,1D,3B/E/F/I/J,,False,,San Francisco Bay Area,
2026-06-29,1E,3A/B/C/D/F,,False,,Boston (Foxborough),
2026-06-29,1F,2C,,False,,Monterrey,
2026-07-01,1G,3A/E/H/I/J,,False,,Seattle,
2026-07-02,1H,2J,,False,,Los Angeles (Inglewood),
2026-06-30,1I,3C/D/F/G/H,,False,,New York/New Jersey,
2026-07-03,1J,2H,,False,,Miami (Miami Gardens),
2026-07-03,1K,3D/E/I/J/L,,False,,Kansas City,
2026-07-01,1L,3E/H/I/J/K,,False,,Atlanta,
2026-06-28,2A,2B,,False,,Los Angeles (Inglewood),
2026-06-28,2B,2A,,False,,Los Angeles (Inglewood),
2026-06-29,2C,1F,,False,,Monterrey,
2026-07-03,2D,2G,,False,,Dallas (Arlington),
2026-06-30,2E,2I,,False,,Dallas (Arlington),
2026-06-29,2F,1C,,False,,Houston,
2026-07-03,2G,2D,,False,,Dallas (Arlington),
2026-07-03,2H,1J,,False,,Miami (Miami Gardens),
2026-06-30,2I,2E,,False,,Dallas (Arlington),
2026-07-02,2J,1H,,False,,Los Angeles (Inglewood),
2026-07-02,2K,2L,,False,,Toronto,
2026-07-02,2L,2K,,False,,Toronto,
2026-06-29,3A/B/C/D/F,1E,,False,,Boston (Foxborough),
2026-07-01,3A/E/H/I/J,1G,,False,,Seattle,
2026-07-01,3B/E/F/I/J,1D,,False,,San Francisco Bay Area,
2026-06-30,3C/D/F/G/H,1I,,False,,New York/New Jersey,
2026-06-30,3C/E/F/H/I,1A,,False,,Mexico City,
2026-07-03,3D/E/I/J/L,1K,,False,,Kansas City,
2026-07-02,3E/F/G/I/J,1B,,False,,Vancouver,
2026-07-01,3E/H/I/J/K,1L,,False,,Atlanta,
2026-06-16,Algeria,Argentina,,False,,Kansas City,
2026-06-22,Algeria,Jordan,6.0,False,Kansas City,San Francisco Bay Area,2398.8
2026-06-27,Algeria,Austria,5.0,False,San Francisco Bay Area,Kansas City,2398.8
2026-06-16,Argentina,Algeria,,False,,Kansas City,
2026-06-22,Argentina,Austria,6.0,False,Kansas City,Dallas (Arlington),739.0
2026-06-27,Argentina,Jordan,5.0,False,Dallas (Arlington),Dallas (Arlington),0.0
2026-06-13,Australia,Turkey,,False,,Vancouver,
2026-06-19,Australia,USA,6.0,False,Vancouver,Seattle,195.6
2026-06-25,Australia,Paraguay,6.0,False,Seattle,San Francisco Bay Area,1133.7
2026-06-16,Austria,Jordan,,False,,San Francisco Bay Area,
2026-06-22,Austria,Argentina,6.0,False,San Francisco Bay Area,Dallas (Arlington),2314.9
2026-06-27,Austria,Algeria,5.0,False,Dallas (Arlington),Kansas City,739.0
2026-06-15,Belgium,Egypt,,False,,Seattle,
2026-06-21,Belgium,Iran,6.0,False,Seattle,Los Angeles (Inglewood),1553.1
2026-06-26,Belgium,New Zealand,5.0,False,Los Angeles (Inglewood),Vancouver,1748.5
2026-06-12,Bosnia & Herzegovina,Canada,,False,,Toronto,
2026-06-18,Bosnia & Herzegovina,Switzerland,6.0,False,Toronto,Los Angeles (Inglewood),3504.4
2026-06-24,Bosnia & Herzegovina,Qatar,6.0,False,Los Angeles (Inglewood),Seattle,1553.1
2026-06-13,Brazil,Morocco,,False,,New York/New Jersey,
2026-06-19,Brazil,Haiti,6.0,False,New York/New Jersey,Philadelphia,137.4
2026-06-24,Brazil,Scotland,5.0,False,Philadelphia,Miami (Miami Gardens),1620.2
2026-06-12,Canada,Bosnia & Herzegovina,,False,,Toronto,
2026-06-18,Canada,Qatar,6.0,False,Toronto,Vancouver,3356.8
2026-06-24,Canada,Switzerland,6.0,False,Vancouver,Vancouver,0.0
2026-06-15,Cape Verde,Spain,,False,,Atlanta,
2026-06-21,Cape Verde,Uruguay,6.0,False,Atlanta,Miami (Miami Gardens),955.2
2026-06-26,Cape Verde,Saudi Arabia,5.0,False,Miami (Miami Gardens),Houston,1547.1
